SAMindex,EGsmlie2D,TC_mean,S_area,PDOS_mean,PDOS_min,PDOS_max,PDOS_var,PDOS_sd,PDOS_gm,PDOS_hm,Peak1_frequency,Peak1_PDOS,Peak2_frequency,Peak2_PDOS,Peak3_frequency,Peak3_PDOS,Peak4_frequency,Peak4_PDOS,Peak5_frequency,Peak5_PDOS,E_pair_mean,E_pair_min,E_pair_max,E_pair_var,E_pair_sd,E_pair_gm,E_pair_hm,E_mol_mean,E_mol_min,E_mol_max,E_mol_var,E_mol_sd,E_mol_gm,E_mol_hm,TotEng_mean,TotEng_min,TotEng_max,TotEng_var,TotEng_sd,TotEng_gm,TotEng_hm,c_interface_up_mean,c_interface_up_min,c_interface_up_max,c_interface_up_var,c_interface_up_sd,c_interface_up_gm,c_interface_up_hm,c_interface_up1_mean,c_interface_up1_min,c_interface_up1_max,c_interface_up1_var,c_interface_up1_sd,c_interface_up1_gm,c_interface_up1_hm,c_interface_up2_mean,c_interface_up2_min,c_interface_up2_max,c_interface_up2_var,c_interface_up2_sd,c_interface_up2_gm,c_interface_up2_hm,c_interface_up3_mean,c_interface_up3_min,c_interface_up3_max,c_interface_up3_var,c_interface_up3_sd,c_interface_up3_gm,c_interface_up3_hm,c_interface_dw_mean,c_interface_dw_min,c_interface_dw_max,c_interface_dw_var,c_interface_dw_sd,c_interface_dw_gm,c_interface_dw_hm,c_interface_dw1_mean,c_interface_dw1_min,c_interface_dw1_max,c_interface_dw1_var,c_interface_dw1_sd,c_interface_dw1_gm,c_interface_dw1_hm,c_interface_dw2_mean,c_interface_dw2_min,c_interface_dw2_max,c_interface_dw2_var,c_interface_dw2_sd,c_interface_dw2_gm,c_interface_dw2_hm,c_interface_dw3_mean,c_interface_dw3_min,c_interface_dw3_max,c_interface_dw3_var,c_interface_dw3_sd,c_interface_dw3_gm,c_interface_dw3_hm,SAM_up_length_mean,SAM_up_length_min,SAM_up_length_max,SAM_up_length_var,SAM_up_length_sd,SAM_up_length_gm,SAM_up_length_hm,SAM_dw_length_mean,SAM_dw_length_min,SAM_dw_length_max,SAM_dw_length_var,SAM_dw_length_sd,SAM_dw_length_gm,SAM_dw_length_hm,Gold_up_length_mean,Gold_up_length_min,Gold_up_length_max,Gold_up_length_var,Gold_up_length_sd,Gold_up_length_gm,Gold_up_length_hm,Gold_dw_length_mean,Gold_dw_length_min,Gold_dw_length_max,Gold_dw_length_var,Gold_dw_length_sd,Gold_dw_length_gm,Gold_dw_length_hm,Water_length_mean,Water_length_min,Water_length_max,Water_length_var,Water_length_sd,Water_length_gm,Water_length_hm,Au_overlap_factor,Water_all_overlap_factor,Water_librations_overlap_factor,Water_bending_overlap_factor,Water_stretching_overlap_factor
SAM001,Cc1ccc(Nc2ccccc2)cc1C,62.717,1394.098,0.004130404,1.24E-05,0.024209846,3.03E-05,0.005506675,1.29E-05,0.000119781,91.35493733,0.024209846,88.96761319,0.023236973,43.29014452,0.021049479,37.56056657,0.017944607,30.95563643,0.014491012,-848037.3639,-848989.91,-844825.02,67694.66943,260.1819929,847965.4009,848037.2841,5777.031461,2712.2126,6096.1763,13462.13578,116.0264443,5767.139775,5774.316745,-823304.9484,-825241.39,-822619.48,249452.5385,499.4522385,823239.6173,823304.6457,-69.89782502,-96.952692,-37.295255,64.19558567,8.01221478,74.85797171,68.92317986,0.025770613,-27.128305,30.375266,44.86142591,6.697867266,3.542236557,0.376392711,-0.013383922,-22.697121,21.405453,26.99032192,5.195221066,3.38839902,0.653482409,-3.061745437,-31.420856,46.206597,110.8508021,10.52857075,10.78672587,1.223125482,-55.98032712,-81.79846,-30.561375,51.06768287,7.146165606,58.38255951,55.03167588,0.060939816,-28.407574,29.540025,37.41163364,6.116505019,5.110672036,0.65635787,0.035874405,-21.699223,27.171071,23.77667477,4.876133178,2.555810365,0.661729253,3.504505708,-46.567463,32.896897,99.37697238,9.968799947,5.23300088,0.932348126,19.04937598,18.69476,19.6041,0.015205827,0.123311909,19.00321001,19.04857957,19.10407199,18.731837,19.754222,0.017317293,0.131595188,19.09539269,19.10316835,57.06352196,56.92889,57.35243,0.002139394,0.046253585,57.07008966,57.06348449,57.14434053,56.967279,57.402892,0.002985575,0.054640415,57.16169694,57.14428831,48.93906391,47.038056,51.679228,0.416983365,0.645742491,49.12609068,48.93059135,0.067470955,0.324281183,0.382400434,0.077390164,0.110631212
SAM002,C1=C/CC/C=C/CC/C=C/CC/1,42.50925,1395.721,0.004130635,1.01E-05,0.027108742,3.44E-05,0.005864861,1.02E-05,9.52E-05,89.60423296,0.027108742,43.52887694,0.023504536,35.88943967,0.01728421,37.56056657,0.016225328,30.39859413,0.011722961,-847440.3503,-848306.08,-844256.63,47293.45367,217.4705812,847314.5631,847440.2945,5395.689477,2576.0364,5721.2853,11270.20631,106.1612279,5389.131204,5393.285683,-823179.4396,-824586.1,-822595.41,163675.389,404.5681512,822934.2712,823179.2409,-87.90539347,-117.56391,-54.503744,74.78137068,8.647622256,90.81205772,87.03402535,-0.035753799,-32.591968,29.322616,41.44970264,6.438144348,5.152494418,0.500816796,-0.067060239,-28.487827,23.126206,36.74061726,6.061403902,6.31777156,0.460051941,-4.992775397,-32.803928,44.295088,110.8027383,10.52628796,4.051506828,1.619401108,-75.87552401,-110.04328,-43.840448,83.20336078,9.121587624,79.91967259,74.75181983,-0.090036116,-28.575706,26.893173,36.55128258,6.045765674,3.447124596,0.562536032,0.099087159,-28.684854,29.167976,36.52940087,6.04395573,2.646177592,0.417760214,5.042357825,-52.801791,34.517035,104.5432957,10.22464159,6.526077524,2.004937992,21.73279787,19.73273,27.40838,1.05604479,1.027640399,21.26620139,21.68660666,21.74594055,19.804093,25.711697,0.631035063,0.794377154,21.70985472,21.71742578,57.16423378,57.03088,57.44237,0.002316402,0.048129018,57.19632453,57.16419328,57.14512843,56.987735,57.464106,0.003350065,0.057879743,57.15992186,57.14506985,51.09681803,49.097345,54.337083,0.388425408,0.623237842,51.01380525,51.08925142,0.059767528,0.286543349,0.346314917,0.063766038,0.027965539
SAM003,c1cc2cc3sccc3cc2s1,48.74075,1391.715,0.004130357,6.80E-06,0.035989696,3.82E-05,0.006177974,1.69E-05,6.52E-05,88.56972583,0.035989696,37.32183416,0.027832763,29.9211293,0.021402984,43.68803188,0.018300208,35.49155231,0.017460299,-849736.1839,-850741.15,-846665.5,85347.73339,292.1433439,849677.1316,849736.0835,26236.55956,23320.79,26509.874,12841.25146,113.3192458,26233.03951,26236.06022,-805943.275,-807602.22,-805219.42,288136.6618,536.7836266,805878.853,805942.9178,-74.24872361,-100.50608,-46.867586,36.90009292,6.074544668,72.47046666,73.73899208,-0.003724118,-21.664908,25.434315,22.60807408,4.754794851,2.669842444,0.361994442,0.058607048,-22.636655,20.738338,24.72642298,4.972567041,1.851120535,0.632319576,-4.906260551,-38.417459,39.553678,114.3028704,10.69125205,7.160740449,1.711600719,-66.01658367,-89.215359,-33.828925,47.68437537,6.905387416,68.66244596,65.2451903,-0.040631978,-21.054411,19.838694,23.06447197,4.802548487,2.061126981,0.754502824,-0.045742167,-21.998137,28.929083,24.14265328,4.913517404,4.55222728,0.600942722,5.147051478,-46.983,33.91407,111.192884,10.54480365,3.123731818,0.588499732,15.67347494,15.31977,16.29527,0.016226225,0.127382201,15.69942304,15.67244516,15.92465383,15.540157,16.550232,0.017611189,0.132707156,15.90837196,15.92355155,57.07964083,56.96724,57.39799,0.001981212,0.044510807,57.09546481,57.07960615,57.17410231,56.994641,57.497602,0.003136014,0.056000129,57.17576166,57.1740475,47.16612246,46.03404,48.50211,0.104804032,0.323734508,47.11640819,47.16390243,0.07228802,0.294007568,0.355430323,0.085135618,0.018119315
SAM004,Cc1cc(C)c(-c2ccccc2)s1,64.153,1395.778,0.004130754,8.75E-06,0.030895879,3.35E-05,0.00578971,1.27E-05,8.71E-05,88.56972583,0.030895879,43.36972199,0.023647817,91.59366975,0.02111789,37.40141163,0.018033038,29.364087,0.014437143,-847389.0526,-848373.73,-844190.89,61163.39262,247.3123382,847177.7161,847388.9804,16804.19922,13772.301,17114.015,15316.09741,123.7582216,16868.76347,16803.25694,-812161.9531,-813911.63,-811395.02,252281.8262,502.276643,811672.6521,812161.6428,-74.65112089,-100.15685,-49.699536,47.21454473,6.871284067,72.41028903,74.00181268,0.014306384,-21.227017,29.313943,30.64148553,5.535475186,3.073997771,0.235968672,0.007240027,-37.197879,26.452093,36.8266995,6.068500598,2.748940516,0.724486791,-2.878983133,-34.93051,49.75363,127.8551566,11.30730545,5.787733285,1.188196437,-65.89672467,-88.914595,-41.107406,46.43003587,6.813958899,66.17637762,65.16611332,0.040260109,-21.00409,24.286951,30.25807501,5.500734042,3.848042462,0.752729176,0.085652159,-30.905923,30.211064,35.72921662,5.977392126,3.618426101,0.725913075,3.025091905,-54.895878,32.507199,125.6414439,11.20898942,6.521217032,1.381276444,17.23285341,16.97509,17.6148,0.007602579,0.087192768,17.2804371,17.23241313,17.28205722,16.886794,17.767448,0.012175987,0.110344854,17.37214476,17.28135392,57.04925955,56.91997,57.27701,0.001931858,0.043952903,57.04794447,57.0492257,57.17761442,57.010711,57.444795,0.002912531,0.053967866,57.16885069,57.17756351,47.54039121,46.268827,49.569969,0.183426104,0.428282738,47.76910011,47.53656013,0.077432112,0.296763799,0.358777093,0.082457607,0.024174032
SAM005,c1cc2cc3ccccc3cc2s1,54.1965,1392.28,0.00413015,8.47E-06,0.034073858,3.51E-05,0.005926025,1.46E-05,6.76E-05,88.56972583,0.034073858,91.91197964,0.021799872,37.4809891,0.020669933,30.39859413,0.020628618,35.73028472,0.018293563,-849548.2129,-850653.93,-846606.67,82590.63693,287.3858677,849320.9605,849548.1157,28951.76219,25960.785,29223.569,15330.42813,123.8161061,29012.43462,28951.22315,-802656.7107,-804478.84,-802025.5,319060.2398,564.8541757,802231.4794,802656.3137,-66.57371437,-89.469293,-43.355196,40.07514315,6.33049312,66.56537845,65.95191772,-0.066323424,-19.863531,19.42864,21.5829167,4.645741782,1.755756886,0.585515004,-0.000520599,-22.773439,21.740062,22.02528296,4.693110158,2.737327484,0.610134391,-2.571036017,-34.395358,50.733891,124.3038068,11.14916171,6.52565503,0.081671868,-60.51780523,-84.150023,-35.132337,44.26741016,6.653375847,66.79700506,59.7485289,0.018785763,-20.959951,23.209028,22.07132536,4.698012916,2.38134411,0.423157999,0.012960597,-24.048764,22.350362,22.3500504,4.727583992,1.97739607,0.562183793,2.955895306,-49.726411,29.841147,121.1282039,11.00582591,4.461694082,1.098059939,15.88498499,15.57612,16.53803,0.014063885,0.118591251,15.93215207,15.88410393,16.23533111,15.782161,16.91214,0.019661426,0.140219208,16.21609171,16.23412165,57.05113263,56.92522,57.32645,0.001843494,0.04293593,57.07482547,57.05110033,57.22177469,57.071512,57.617593,0.003004397,0.054812379,57.22569136,57.22172222,47.17020182,45.836616,48.810234,0.127776974,0.357459053,47.26327463,47.16749737,0.075929882,0.291667857,0.350833823,0.09316163,0.014440461
SAM006,C1=C/CC/C=C\CC/C=C/CC/1,53.86575,1395.108,0.004130747,9.91E-06,0.02769652,3.42E-05,0.005850746,9.96E-06,9.44E-05,89.60423296,0.02769652,43.52887694,0.023733587,35.88943967,0.016761429,37.4809891,0.015336685,30.79648149,0.011579669,-847291.0228,-848293.28,-844256.98,75210.32159,274.2450028,847118.0255,847290.9341,5408.239904,2481.6311,5718.5146,11267.77549,106.1497786,5475.909027,5405.826048,-822902.0197,-824509,-822260.8,251395.8405,501.3938976,822475.1434,822901.7145,-97.04842857,-125.02182,-72.82363,57.75462501,7.599646374,96.82003359,96.44973597,-0.025275577,-29.031125,33.288136,47.20441766,6.870547115,4.071770128,0.952895655,0.072502628,-28.812422,31.437912,47.09358185,6.862476364,2.717612277,0.65426228,-2.330718954,-35.337419,49.614112,132.6469189,11.51724441,8.923139637,1.509667714,-88.39553792,-119.74951,-61.71073,57.4889633,7.582147671,80.24068675,87.73639244,0.020862559,-30.850416,29.655344,42.67321415,6.532473815,5.333118566,0.734757094,-0.028755708,-33.566795,33.342934,50.0888726,7.077349264,2.404530776,0.952993478,2.276081947,-53.806496,38.291033,131.3412683,11.46042182,2.915168282,1.680950825,21.98463473,19.7966,26.20097,0.835546929,0.914082562,21.34617999,21.94757786,22.17364911,19.752503,27.877971,1.233669698,1.110706846,23.87154593,22.1210523,57.11101056,56.96634,57.35084,0.002504891,0.050048883,57.09300929,57.11096673,57.22036976,57.068176,57.525953,0.003447642,0.058716623,57.27371952,57.22030956,50.42009591,48.618566,52.689184,0.316128996,0.562253498,50.36181736,50.41384682,0.061226452,0.290965461,0.353062746,0.063189777,0.027607037
SAM007,CCCC1=C(C)C(C)=C(C)[C@@H]1C,40.8,1395.721,0.004130765,8.63E-06,0.036665791,4.26E-05,0.006526157,1.02E-05,7.76E-05,89.36550055,0.036665791,43.68803188,0.028936946,37.71972151,0.01612388,30.55774907,0.013623122,5.809155423,0.008091308,-849151.3394,-850039.01,-845904.22,63787.53023,252.5619335,849022.8296,849151.2643,4793.675524,1859.5492,5128.8231,13102.64011,114.4667642,4756.026229,4790.438061,-825309.0497,-826825.4,-824438.33,231079.059,480.7068327,825084.9677,825308.7699,-81.05959699,-107.31369,-52.803253,59.87490197,7.737887436,95.71760709,80.29676429,-0.030365128,-21.282594,21.06264,17.80865407,4.220030103,3.44750434,0.641620666,0.060481522,-20.275408,20.655621,19.53355275,4.419677902,2.693656069,0.236755417,-8.676651896,-37.05302,37.155777,112.4860614,10.60594463,3.925404183,0.235870713,-69.57660011,-95.439276,-38.258414,63.07917062,7.942239647,74.81532422,68.61430376,0.004263394,-19.400268,19.98042,18.56171806,4.308331239,2.372826359,0.520743113,-0.030769577,-22.463333,27.642588,17.51874833,4.185540387,2.983161503,0.372096133,8.83029087,-41.727315,40.720456,104.9254247,10.24331122,6.224489844,2.447049581,17.24919268,16.8128,17.87781,0.021022763,0.144992287,17.26212085,17.24797708,17.48397727,16.807865,25.449407,0.837449713,0.915122786,22.79634567,17.44772444,57.08858237,56.95063,57.33809,0.002327329,0.048242394,57.06292173,57.08854162,57.16547552,57.015088,57.500042,0.003238963,0.056911889,57.17289136,57.1654189,47.74581214,46.204313,49.933203,0.275328073,0.524717136,48.36582396,47.7400604,0.08050614,0.293710814,0.357227978,0.06838087,0.023950098
SAM008,Cc1cccc([C@H]2CCC[C@H](C)C2)c1,45.40425,1397.732,0.004131023,1.09E-05,0.030208069,3.44E-05,0.0058671,1.12E-05,9.55E-05,89.2063456,0.030208069,43.44929946,0.024178321,37.56056657,0.016622629,30.31901666,0.010621248,27.77253757,0.009796674,-847952.655,-848904.17,-844920.04,61382.0353,247.7539814,847800.06,847952.5826,3808.905752,893.26166,4138.1128,12182.83212,110.3758675,3842.827501,3804.569868,-824795.6984,-826338.28,-824081.49,232949.8322,482.6487669,824440.3434,824795.4162,-85.50859561,-114.31022,-50.456054,56.51873513,7.517894328,87.33331768,84.80771545,0.032703471,-24.759405,19.878002,23.94305091,4.893163691,2.511785493,0.661109547,-0.012858971,-23.408758,22.626255,22.50148161,4.743572663,2.009622287,0.023996615,-8.38567896,-37.280421,51.784417,118.3049907,10.87680977,7.258370919,0.27539589,-78.56954447,-101.02388,-54.673435,52.38517496,7.237760355,80.79844203,77.88645338,-0.089991451,-25.757707,21.754119,23.28932948,4.825901934,2.979560126,0.604552966,-0.015299327,-16.66626,20.044735,21.16458887,4.600498763,1.585619888,0.466625706,8.359373387,-41.670243,37.232204,122.8577838,11.08412305,5.455194024,2.461242318,18.34598264,17.906,18.99481,0.01696914,0.130265653,18.34177971,18.34505936,18.39698701,17.850065,19.19428,0.035952533,0.189611532,18.38274847,18.39504318,57.08107871,56.93225,57.37642,0.002422233,0.049216186,57.08426349,57.0810363,57.17716269,57.028185,57.563374,0.003135563,0.055996095,57.16755954,57.17710788,47.47135212,45.96969,49.875921,0.2422374,0.492176188,47.40955141,47.46626807,0.060699323,0.279155069,0.334463663,0.063954703,0.034276973
SAM009,CCC(C)(C)C1CCC(F)(F)CC1,70.59275,1396.391,0.004130938,8.94E-06,0.03279384,4.03E-05,0.006349176,9.32E-06,8.79E-05,89.12676813,0.03279384,43.60845441,0.029722763,37.71972151,0.016213611,30.39859413,0.012148999,40.98239785,0.008903061,-848401.9312,-849265.15,-845170.11,37609.00626,193.930416,848133.4444,848401.8869,3538.801459,695.75395,3825.5092,11114.68199,105.4261921,3552.546236,3534.205603,-825593.0292,-827250.35,-824927.07,170848.6594,413.3384321,825003.4442,825592.8225,-126.2375932,-165.01298,-90.661471,87.9690405,9.379181228,139.3815272,125.5309499,-0.135799581,-34.975557,34.605239,61.92056284,7.868961993,2.889152191,1.14942462,-0.045713583,-31.2782,28.984,57.5165248,7.583964979,3.614185208,0.724235297,-6.458257127,-44.31633,49.396867,164.4225796,12.82273682,10.43126109,2.045592855,-117.0590724,-152.527,-85.88711,88.95324302,9.431502692,109.0945006,116.2916785,-0.262422684,-38.476695,31.114086,62.50308223,7.905889085,7.233259889,0.977376883,-0.094524662,-31.52212,38.015309,61.73486339,7.857153644,2.705334824,0.926205442,6.899292323,-57.286469,45.615639,156.710041,12.51838812,12.32855027,1.600157182,21.9678333,20.18415,24.5934,0.446203646,0.667984765,21.35456423,21.94776961,22.10420758,20.209645,25.807527,0.495528729,0.703938015,22.25331304,22.08232404,57.14578344,56.99927,57.40418,0.002365424,0.048635624,57.15900531,57.14574207,57.18186395,57.028756,57.558391,0.003308366,0.0575184,57.18876064,57.18180613,48.01674159,46.315571,51.083623,0.386677593,0.621834056,47.6209043,48.00875014,0.058826705,0.281545216,0.341346712,0.05539941,0.025313957
SAM010,Cc1ccc(C(F)F)c2ccccc12,88.6725,1395.734,0.00413077,1.39E-05,0.025405287,3.01E-05,0.005489871,1.70E-05,9.95E-05,89.44507802,0.025405287,37.79929898,0.017976407,91.75282469,0.017707988,43.21056705,0.01697889,28.72746723,0.011992571,-848150.2941,-849152.14,-845175.3,66634.3521,258.1363053,848139.8665,848150.2156,17801.79993,14799.614,18082.751,12696.2683,112.6777187,17890.19353,17801.06348,-812062.5378,-813935.39,-811415.63,257955.1588,507.8928615,811851.841,812062.2205,-136.382036,-168.7351,-102.27857,71.05599237,8.429471654,145.2557411,135.856305,0.221959147,-29.729645,27.424574,38.95829475,6.241658013,5.605845415,0.988310162,0.209085386,-25.195334,24.590396,34.43907509,5.868481498,1.558295328,0.875277316,-7.71551179,-50.30138,66.019717,210.1369151,14.4961,13.34600661,2.057529974,-123.0746443,-157.75876,-92.558247,75.49257926,8.688646572,117.1824628,122.4536711,-0.236500806,-21.96642,27.195613,36.68962126,6.057195825,4.692608698,0.27649805,-0.121996245,-22.734359,26.757829,33.81333152,5.814923174,2.985107359,0.399533764,7.739089168,-67.637285,46.678451,202.4072217,14.2269892,7.138306932,1.576190261,15.07182357,14.62705,15.81283,0.022245278,0.149148511,15.04798334,15.07035174,15.19980893,14.724297,15.994468,0.021656643,0.147161962,15.21566021,15.19839082,57.05459654,56.92298,57.33054,0.002327609,0.048245302,57.07387296,57.05455576,57.15784546,57.004498,57.544757,0.003160185,0.056215519,57.14433145,57.1577902,47.05721647,45.386496,49.115901,0.274179875,0.523621882,46.86714915,47.05140483,0.062997534,0.294175161,0.345310333,0.120439171,0.033326136
