SAMindex,EGsmlie2D,Category,kinds
SAM001,Cc1ccc(Nc2ccccc2)cc1C,"6Amine, 9Aromatic_Hydrocarbon",2
SAM002,C1=C/CC/C=C/CC/C=C/CC/1,11Other,1
SAM003,c1cc2cc3sccc3cc2s1,9Aromatic_Hydrocarbon,1
SAM004,Cc1cc(C)c(-c2ccccc2)s1,9Aromatic_Hydrocarbon,1
SAM005,c1cc2cc3ccccc3cc2s1,9Aromatic_Hydrocarbon,1
SAM006,C1=C/CC/C=C\CC/C=C/CC/1,11Other,1
SAM007,CCCC1=C(C)C(C)=C(C)[C@@H]1C,11Other,1
SAM008,Cc1cccc([C@H]2CCC[C@H](C)C2)c1,"9Aromatic_Hydrocarbon, 10Cyclohexane",2
SAM009,CCC(C)(C)C1CCC(F)(F)CC1,10Cyclohexane,1
SAM010,Cc1ccc(C(F)F)c2ccccc12,9Aromatic_Hydrocarbon,1
SAM011,CCCCCc1ccc(C)cc1C,9Aromatic_Hydrocarbon,1
SAM012,c1ccc(-c2ccc(C3CC3)cc2)cc1,9Aromatic_Hydrocarbon,1
SAM013,C1CC[C@@H]2C[C@@H]3CCCC[C@@H]3C[C@H]2C1,10Cyclohexane,1
SAM014,c1cc2ccc3ccsc3c2s1,9Aromatic_Hydrocarbon,1
SAM015,CC=C=C1CCC(c2ccccc2)CC1,"9Aromatic_Hydrocarbon, 10Cyclohexane",2
SAM016,C=CCNC(=O)C(N)=O,"5Ketone, 6Amine, 7Amide",3
SAM017,CN[C@H](C=O)[C@H](O)[C@@H](O)[C@H](O)CO,"1Alcohol, 5Ketone, 6Amine",3
SAM018,C[C@H](O)[C@@H](O)C=O,"1Alcohol, 5Ketone",2
SAM019,CNC(N=N)NCCO,"1Alcohol, 6Amine",2
SAM020,C[C@]1(C=O)NC(=O)NC1=O,"5Ketone, 6Amine, 7Amide",3
SAM021,CNC(N=N)NN,6Amine,1
SAM022,C[C@H](O)[C@H](O)[C@H](O)C=O,"1Alcohol, 5Ketone",2
SAM023,C[C@H](O)[C@H](O)C=O,"1Alcohol, 5Ketone",2
SAM024,CN(C)N/N=C1/N=CN=C1C(N)=O,"5Ketone, 6Amine, 7Amide",3
SAM025,OC1[C@H](O)[C@H](O)C2(CO2)[C@H](O)[C@@H]1O,"1Alcohol, 8Ether, 10Cyclohexane",3
SAM026,OC1[C@H](O)[C@H](O)C2(CO2)[C@H](O)[C@H]1O,"1Alcohol, 8Ether, 10Cyclohexane",3
SAM027,CO[C@H](C=O)O[C@H](C=O)CO,"1Alcohol, 5Ketone, 8Ether",3
SAM028,CN[C@H](C=O)[C@H](O)[C@H](O)[C@@H](O)CO,"1Alcohol, 5Ketone, 6Amine",3
SAM029,NC(=O)/C=C/C(=O)NO,"1Alcohol, 5Ketone, 6Amine, 7Amide",4
SAM030,C[C@H](O)[C@@H](O)[C@@H](O)C=O,"1Alcohol, 5Ketone",2
SAM031,N[C@@H](C=O)C(O)C(O)C(O)C=O,"1Alcohol, 5Ketone, 6Amine",3
SAM032,C=C(CC(N)=O)[C@H]([NH3+])C(=O)[O-],"5Ketone, 6Amine, 7Amide",3
SAM033,C=CCNC(=O)C(=O)NC[C@H](C)O,"1Alcohol, 5Ketone, 6Amine, 7Amide",4
SAM034,COC(=O)[C@H](C=O)N(C)C=O,"3Ester, 5Ketone, 6Amine, 7Amide, 8Ether",5
SAM035,CC(=O)N[C@@H](C=O)OCC=O,"5Ketone, 6Amine, 7Amide, 8Ether",4
