SAMindex,EGsmlie2D,Category,kinds,UMAP1,UMAP2,TC_mean
SAM001,Cc1ccc(Nc2ccccc2)cc1C,"6Amine, 9Aromatic_Hydrocarbon",2,0.44568035,5.2913065,62.717
SAM002,C1=C/CC/C=C/CC/C=C/CC/1,11Other,1,3.7640576,0.035574675,42.50925
SAM003,c1cc2cc3sccc3cc2s1,9Aromatic_Hydrocarbon,1,-0.04382682,5.7415047,48.74075
SAM004,Cc1cc(C)c(-c2ccccc2)s1,9Aromatic_Hydrocarbon,1,0.025880964,5.071584,64.153
SAM005,c1cc2cc3ccccc3cc2s1,9Aromatic_Hydrocarbon,1,-0.01460275,5.813992,54.1965
SAM006,C1=C/CC/C=C\CC/C=C/CC/1,11Other,1,0.4017453,5.330571,53.86575
SAM007,CCCC1=C(C)C(C)=C(C)[C@@H]1C,11Other,1,0.7508291,4.68528,40.8
SAM008,Cc1cccc([C@H]2CCC[C@H](C)C2)c1,"9Aromatic_Hydrocarbon, 10Cyclohexane",2,0.6193222,4.682849,45.40425
SAM009,CCC(C)(C)C1CCC(F)(F)CC1,10Cyclohexane,1,3.6898491,0.030287886,70.59275
SAM010,Cc1ccc(C(F)F)c2ccccc12,9Aromatic_Hydrocarbon,1,0.033262134,5.44091,88.6725
SAM011,CCCCCc1ccc(C)cc1C,9Aromatic_Hydrocarbon,1,0.8456317,4.4877677,43.18725
SAM012,c1ccc(-c2ccc(C3CC3)cc2)cc1,9Aromatic_Hydrocarbon,1,-0.24195859,5.0205364,48.797
SAM013,C1CC[C@@H]2C[C@@H]3CCCC[C@@H]3C[C@H]2C1,10Cyclohexane,1,1.6938926,2.6486516,38.93
SAM014,c1cc2ccc3ccsc3c2s1,9Aromatic_Hydrocarbon,1,-0.34458256,4.78821,57.11225
SAM015,CC=C=C1CCC(c2ccccc2)CC1,"9Aromatic_Hydrocarbon, 10Cyclohexane",2,0.42529002,6.0679812,66.505
SAM016,C=CCNC(=O)C(N)=O,"5Ketone, 6Amine, 7Amide",3,8.15798,3.9227014,200.10075
SAM017,CN[C@H](C=O)[C@H](O)[C@@H](O)[C@H](O)CO,"1Alcohol, 5Ketone, 6Amine",3,7.2981157,3.6009097,141.76525
SAM018,C[C@H](O)[C@@H](O)C=O,"1Alcohol, 5Ketone",2,3.5003664,3.3615155,160.934
SAM019,CNC(N=N)NCCO,"1Alcohol, 6Amine",2,6.0384555,1.3452669,142.40925
SAM020,C[C@]1(C=O)NC(=O)NC1=O,"5Ketone, 6Amine, 7Amide",3,1.8717387,2.731763,173.88075
SAM021,CNC(N=N)NN,6Amine,1,7.0342083,1.5600984,205.80975
SAM022,C[C@H](O)[C@H](O)[C@H](O)C=O,"1Alcohol, 5Ketone",2,4.36546,5.504093,146.33975
SAM023,C[C@H](O)[C@H](O)C=O,"1Alcohol, 5Ketone",2,3.5704355,3.3604178,152.556
SAM024,CN(C)N/N=C1/N=CN=C1C(N)=O,"5Ketone, 6Amine, 7Amide",3,8.248956,4.0073714,92.0455
SAM025,OC1[C@H](O)[C@H](O)C2(CO2)[C@H](O)[C@@H]1O,"1Alcohol, 8Ether, 10Cyclohexane",3,0.85290855,5.760151,102.28675
