SAMindex,MaxEStateIndex,MinEStateIndex,MaxAbsEStateIndex,MinAbsEStateIndex,qed,MolWt,HeavyAtomMolWt,ExactMolWt,NumValenceElectrons,NumRadicalElectrons,MaxPartialCharge,MinPartialCharge,MaxAbsPartialCharge,MinAbsPartialCharge,FpDensityMorgan1,FpDensityMorgan2,FpDensityMorgan3,BCUT2D_MWHI,BCUT2D_MWLOW,BCUT2D_CHGHI,BCUT2D_CHGLO,BCUT2D_LOGPHI,BCUT2D_LOGPLOW,BCUT2D_MRHI,BCUT2D_MRLOW,BalabanJ,BertzCT,Chi0,Chi0n,Chi0v,Chi1,Chi1n,Chi1v,Chi2n,Chi2v,Chi3n,Chi3v,Chi4n,Chi4v,HallKierAlpha,Ipc,Kappa1,Kappa2,Kappa3,LabuteASA,PEOE_VSA1,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,SMR_VSA1,SMR_VSA10,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SMR_VSA8,SMR_VSA9,SlogP_VSA1,SlogP_VSA10,SlogP_VSA11,SlogP_VSA12,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA7,SlogP_VSA8,SlogP_VSA9,TPSA,EState_VSA1,EState_VSA10,EState_VSA11,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA7,EState_VSA8,EState_VSA9,VSA_EState1,VSA_EState10,VSA_EState2,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState6,VSA_EState7,VSA_EState8,VSA_EState9,FractionCSP3,HeavyAtomCount,NHOHCount,NOCount,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAliphaticRings,NumAromaticCarbocycles,NumAromaticHeterocycles,NumAromaticRings,NumHAcceptors,NumHDonors,NumHeteroatoms,NumRotatableBonds,NumSaturatedCarbocycles,NumSaturatedHeterocycles,NumSaturatedRings,RingCount,MolLogP,MolMR,fr_Al_COO,fr_Al_OH,fr_Al_OH_noTert,fr_ArN,fr_Ar_COO,fr_Ar_N,fr_Ar_NH,fr_Ar_OH,fr_COO,fr_COO2,fr_C_O,fr_C_O_noCOO,fr_C_S,fr_HOCCN,fr_Imine,fr_NH0,fr_NH1,fr_NH2,fr_N_O,fr_Ndealkylation1,fr_Ndealkylation2,fr_Nhpyrrole,fr_SH,fr_aldehyde,fr_alkyl_carbamate,fr_alkyl_halide,fr_allylic_oxid,fr_amide,fr_amidine,fr_aniline,fr_aryl_methyl,fr_azide,fr_azo,fr_barbitur,fr_benzene,fr_benzodiazepine,fr_bicyclic,fr_diazo,fr_dihydropyridine,fr_epoxide,fr_ester,fr_ether,fr_furan,fr_guanido,fr_halogen,fr_hdrzine,fr_hdrzone,fr_imidazole,fr_imide,fr_isocyan,fr_isothiocyan,fr_ketone,fr_ketone_Topliss,fr_lactam,fr_lactone,fr_methoxy,fr_morpholine,fr_nitrile,fr_nitro,fr_nitro_arom,fr_nitro_arom_nonortho,fr_nitroso,fr_oxazole,fr_oxime,fr_para_hydroxylation,fr_phenol,fr_phenol_noOrthoHbond,fr_phos_acid,fr_phos_ester,fr_piperdine,fr_piperzine,fr_priamide,fr_prisulfonamd,fr_pyridine,fr_quatN,fr_sulfide,fr_sulfonamd,fr_sulfone,fr_term_acetylene,fr_tetrazole,fr_thiazole,fr_thiocyan,fr_thiophene,fr_unbrch_alkane,fr_urea
SAM001,3.3719444444444444,1.1256972789115647,3.3719444444444444,1.1256972789115647,0.7655199643504225,197.281,182.16099999999997,197.12044948,76,0,0.03865622495108401,-0.3555189117381878,0.3555189117381878,0.03865622495108401,0.7333333333333333,1.4666666666666666,2.1333333333333333,14.86704022265398,10.102541928510208,1.9572516258885553,-2.0776657399492664,2.1840789104599025,-1.906080500838737,5.6016768928204925,1.336227141771719,2.217927485942461,446.1508090804893,10.673362107437434,9.11880215351701,9.11880215351701,7.25402019542349,5.1487174742355455,5.1487174742355455,3.790063509461098,3.790063509461098,2.5693728503313493,2.5693728503313493,1.5073301041295237,1.5073301041295237,-1.7599999999999993,3349.05237143893,9.782071708117662,4.177379247150556,2.376342764715118,90.76824373796225,5.316788604006331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.26546827384644,49.23984565662168,11.374772549367124,0.0,0.0,11.374772549367124,0.0,0.0,0.0,13.847474399381248,5.316788604006331,59.65783953108687,0.0,0.0,5.316788604006331,11.374772549367124,0.0,0.0,0.0,0.0,13.847474399381248,11.126902983393991,48.53093654769288,0.0,0.0,0.0,12.03,0.0,0.0,0.0,0.0,0.0,11.374772549367124,11.126902983393991,0.0,18.19910120538483,49.49609834569563,0.0,0.0,0.0,0.0,3.3719444444444444,4.911662834887042,0.0,16.625978888468968,0.0,4.2570804988662125,0.0,0.14285714285714285,15,1,1,0,0,0,2,0,2,1,1,1,2,0,0,0,2,4.047040000000002,65.64070000000004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAM002,2.291454081632653,1.208545918367347,2.291454081632653,1.208545918367347,0.4720250090877129,162.27599999999995,144.13199999999998,162.140850576,66,0,-0.031598860879652496,-0.08822056369585064,0.08822056369585064,0.031598860879652496,0.3333333333333333,0.5,0.6666666666666666,13.884167298240628,10.147769626700509,1.8177246408327346,-1.9194238661903678,2.021988818977232,-1.7144427631797445,4.932598625766521,0.9618093280392852,2.3041105984884602,121.19311924156366,8.485281374238573,7.706742302257041,7.706742302257041,6.0,4.949489742783179,4.949489742783179,3.1462643699419726,3.1462643699419726,2.0000000000000004,2.0000000000000004,1.2844570503761732,1.2844570503761732,-0.78,655.6966845611571,9.309126559714795,6.90123830313198,4.9486739683719865,75.67897403611025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.45612064100329,38.524929737556064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.524929737556064,0.0,36.45612064100329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.524929737556064,36.45612064100329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.524929737556064,0.0,0.0,36.45612064100329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,0.5,12,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,4.009200000000003,55.122000000000035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAM003,2.269675925925926,1.370324074074074,2.269675925925926,1.370324074074074,0.50003843024165,190.29199999999997,184.24399999999997,189.991092192,58,0,0.03491761333191619,-0.14379833000815728,0.14379833000815728,0.03491761333191619,0.75,1.25,1.75,32.1346264419779,10.200519533951775,1.9810010976675283,-1.8904151555004565,2.2896487338538223,-1.6133765122472696,7.183810428417035,2.0375123177944694,2.621180553784104,439.76328582957245,7.966255326250884,6.2805981960654815,7.913591357920934,5.93265299037757,3.77837028549044,5.537675908000229,2.7690613980447902,4.664449784042535,2.0274447022462496,3.7867503247560403,1.4172692311251653,3.0559032799516697,-0.8600000000000001,1523.7770134634525,6.633922145076208,2.3123122479797438,0.8221959228846415,78.07545872379036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.673571755869474,0.0,45.79804224370786,9.399839832938202,0.0,0.0,42.845860017737266,0.0,0.0,0.0,0.0,0.0,35.02559381477827,0.0,0.0,0.0,0.0,0.0,22.673571755869474,0.0,0.0,0.0,0.0,35.02559381477827,0.0,20.17228826186779,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.17228826186779,0.0,22.673571755869474,35.02559381477827,0.0,2.7794444444444446,3.62037037037037,0.0,7.034722222222222,0.0,0.0,8.898796296296297,0.0,0.0,0.0,0.0,12,0,0,0,0,0,1,2,3,2,0,2,0,0,0,0,3,4.116000000000001,57.20800000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
SAM004,2.2430555555555554,1.3315740740740742,2.2430555555555554,1.3315740740740742,0.633466743422641,188.29500000000002,176.19899999999998,188.065971384,66,0,0.03742308436440342,-0.1403383158071618,0.1403383158071618,0.03742308436440342,1.0,1.6923076923076923,2.230769230769231,32.133559715361784,10.120867659462148,2.0337944278248146,-1.9708466078091165,2.308353677154497,-1.724631071512174,7.151941711578291,1.500072206469447,2.52646374475782,398.31775520182265,9.259148545064338,7.87234990560162,8.688846486529346,6.270856947829097,4.3962821621764485,5.212778743104175,3.235212300846465,4.491535287401637,2.0769533808805583,3.278581467565142,1.517510145449529,2.5490347777741724,-1.0799999999999998,1451.644963716997,8.515232389843668,3.346339285714285,1.6539528338952696,82.85874482476571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.336785877934737,30.33183534230805,31.040744451236847,9.754294387402599,0.0,0.0,11.336785877934737,0.0,0.0,0.0,13.847474399381248,0.0,46.838801096167956,0.0,10.440598685398296,0.0,0.0,0.0,11.336785877934737,0.0,0.0,13.847474399381248,10.440598685398296,36.39820241076966,0.0,10.440598685398296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.881197370796592,0.0,11.336785877934737,50.245676810150904,0.0,0.0,1.8674537037037036,2.7865306122448983,0.0,2.7146296296296297,0.0,12.802080498866212,0.0,4.329305555555555,0.0,0.16666666666666666,13,0,0,0,0,0,1,1,2,1,0,1,1,0,0,0,2,4.031940000000002,59.229000000000035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
SAM005,2.259259259259259,1.3272222222222223,2.259259259259259,1.3272222222222223,0.4940581960165391,184.26299999999998,176.19899999999998,184.034671256,62,0,0.03485896141842355,-0.1437993245043524,0.1437993245043524,0.03485896141842355,0.7692307692307693,1.5384615384615385,2.3846153846153846,32.13344479689475,10.098413800600964,1.9644403185186603,-1.9603842083394458,2.2578981466916392,-1.6945120500809936,7.167805867551788,1.8125080994968612,2.5661190861978347,513.6341359099093,8.673362107437432,7.027050443980871,7.843547024908597,6.43265299037757,4.293885681124472,5.173538492379367,3.1577853816358457,4.1054795746347175,2.32073787565806,3.2003906869129555,1.6499539315013758,2.4692709559146295,-1.3399999999999996,2399.6014662862085,7.100869988359856,2.5736200453487514,1.044933462784593,80.43509545337888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.336785877934737,24.26546827384644,39.73783661924513,4.699919916469101,0.0,0.0,32.195378437798226,0.0,0.0,0.0,0.0,0.0,47.844632249697185,0.0,0.0,0.0,0.0,0.0,11.336785877934737,0.0,0.0,0.0,0.0,47.844632249697185,0.0,20.85859255986349,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.85859255986349,11.336785877934737,0.0,47.844632249697185,0.0,1.3737962962962964,1.8021541950113376,0.0,6.151249999999999,0.0,0.0,15.172799508692368,0.0,0.0,0.0,0.0,13,0,0,0,0,0,2,1,3,1,0,1,0,0,0,0,3,4.054500000000001,59.33100000000002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
SAM006,2.291454081632653,1.208545918367347,2.291454081632653,1.208545918367347,0.4720250090877129,162.27599999999995,144.13199999999998,162.140850576,66,0,-0.031598860879652496,-0.08822056369585064,0.08822056369585064,0.031598860879652496,0.3333333333333333,0.5,0.6666666666666666,13.884167298240628,10.147769626700509,1.8177246408327346,-1.9194238661903678,2.021988818977232,-1.7144427631797445,4.932598625766521,0.9618093280392852,2.3041105984884602,121.19311924156366,8.485281374238573,7.706742302257041,7.706742302257041,6.0,4.949489742783179,4.949489742783179,3.1462643699419726,3.1462643699419726,2.0000000000000004,2.0000000000000004,1.2844570503761732,1.2844570503761732,-0.78,655.6966845611571,9.309126559714795,6.90123830313198,4.9486739683719865,75.67897403611025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.45612064100329,38.524929737556064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.524929737556064,0.0,36.45612064100329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.524929737556064,36.45612064100329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.524929737556064,0.0,0.0,36.45612064100329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,0.5,12,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,4.009200000000003,55.122000000000035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAM007,2.3336574074074075,0.7129166666666664,2.3336574074074075,0.7129166666666664,0.5763740907018565,164.29199999999997,144.13199999999998,164.15650064,68,0,-0.0012566559372167233,-0.06507631643625618,0.06507631643625618,0.0012566559372167233,1.0833333333333333,1.6666666666666667,2.0,14.266962336837588,9.945738366380098,2.2142218939718235,-2.1034352679373614,2.3792701432000056,-1.9614689875013187,5.458869493414597,0.7357202448655272,2.921614076153122,240.7639251168273,9.300964908321225,8.991563831562722,8.991563831562722,5.591422815075579,4.965360710159073,4.965360710159073,3.9299389462052265,3.9299389462052265,3.3272269337669176,3.3272269337669176,2.1207981278974364,2.1207981278974364,-0.52,496.5543727939375,9.567108013937284,3.467875860118768,1.3489859550917542,76.36857706829448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.41450508244579,44.256148328297805,0.0,0.0,0.0,0.0,0.0,0.0,5.917906046161393,47.46032924430513,0.0,22.29241812027707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.917906046161393,47.46032924430513,22.29241812027707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.917906046161393,0.0,18.414747775921285,16.719313590207804,0.0,34.61868599845312,0.0,0.0,0.0,0.0,0.0,6.343750000000001,0.7129166666666664,0.0,2.5548148148148146,11.38851851851852,0.0,0.6666666666666666,12,0,0,1,0,1,0,0,0,0,0,0,2,0,0,0,1,4.089100000000003,55.14600000000004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAM008,2.390830498866213,0.8320833333333331,2.390830498866213,0.8320833333333331,0.6164776285518432,188.314,168.15399999999997,188.15650064,76,0,-0.015932683411346068,-0.0624880804440337,0.0624880804440337,0.015932683411346068,1.2142857142857142,2.0714285714285716,2.7857142857142856,14.245864964329709,9.784720033832905,2.194103856272665,-2.267218128155187,2.3537763285631588,-2.1109835573506057,5.253132598617699,0.34382091343356547,2.135154547087473,300.6615494596117,9.966255326250886,9.292528739883947,9.292528739883947,6.7540201954234895,5.82038577068581,5.82038577068581,4.882838986976538,4.882838986976538,3.4499299858263455,3.4499299858263455,2.6609213176324484,2.6609213176324484,-0.78,1970.1337814922244,9.762806332476792,4.16437809210619,2.173552915934985,87.3451088811406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.59430021108607,37.164644029562425,0.0,0.0,0.0,0.0,0.0,0.0,5.917906046161393,45.448666937246685,0.0,35.392371257240434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.841643245852017,49.651832720950054,24.26546827384644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.835812092322787,31.246737983401033,5.563451491696996,0.0,38.112942673227685,0.0,0.0,0.0,0.0,0.0,2.9697004913076346,1.757326152683295,9.05367795729403,5.638231764928193,4.581063633786847,0.0,0.5714285714285714,14,0,0,1,0,1,1,0,1,0,0,0,1,1,0,1,2,4.288720000000003,61.55200000000004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAM009,12.869912131519275,-2.3746811224489797,12.869912131519275,0.09831018518518508,0.610352107071614,190.27699999999993,170.11699999999996,190.15330708,78,0,0.24772780392812283,-0.20690573300662277,0.24772780392812283,0.20690573300662277,1.2307692307692308,1.6923076923076923,2.076923076923077,19.285169581702615,9.688994725881043,2.3907386408302567,-2.3823351520063136,2.4450179105661545,-2.3195928400066186,4.8468049019239885,-0.06055176743201328,2.499434469680607,162.92909232631843,10.112884175122366,8.86881312114082,8.86881312114082,5.872938668488908,5.250903141498135,5.250903141498135,4.9723593357031,4.9723593357031,3.7335190651970085,3.7335190651970085,2.1102908643110387,2.1102908643110387,-0.14,578.0868319293584,10.937760497667185,3.5463847536988524,2.6497805669720704,79.71391182411887,0.0,0.0,0.0,5.922529168094576,0.0,0.0,0.0,8.78083009534964,0.0,0.0,27.19203322199788,24.17453976141019,12.841643245852019,0.0,8.78083009534964,0.0,0.0,0.0,11.332896515558172,58.7978488817965,0.0,0.0,0.0,0.0,0.0,8.78083009534964,0.0,0.0,5.922529168094576,0.0,11.332896515558172,52.87531971370193,0.0,0.0,0.0,0.0,0.0,5.922529168094576,8.78083009534964,0.0,18.2566337152488,18.75954929201341,6.4208216229260096,0.0,0.0,0.0,20.771211599071872,0.0,25.73982426303855,0.0,0.0,0.0,0.2465277777777779,-1.8773431594860168,0.0,2.687610544217687,6.536713907785337,0.0,1.0,13,0,0,1,0,1,0,0,0,0,0,2,2,1,0,1,1,4.2481000000000035,50.97700000000004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAM010,12.62869425547997,-2.4023148148148152,12.62869425547997,0.11685185185185198,0.6380481399893105,192.20800000000003,182.128,192.07505676,72,0,0.26394718823788277,-0.20500826310072356,0.26394718823788277,0.20500826310072356,0.9285714285714286,1.5714285714285714,2.2142857142857144,19.279712817518423,10.00628715584366,2.107879033200342,-2.069256798988751,2.287502554468365,-1.8786283124109822,5.881778276715706,0.152886781020549,2.816019155914077,460.82842459951513,10.129392033067417,7.797380830345836,7.797380830345836,6.698377302757662,4.463144786779384,4.463144786779384,3.3179681185899677,3.3179681185899677,2.4108981673679195,2.4108981673679195,1.6633378542283623,1.6633378542283623,-1.44,1862.1353502942911,9.128216426936765,3.3693642967367996,1.3681180142255773,81.17402268587784,0.0,0.0,0.0,0.0,6.425444744859191,0.0,0.0,8.78083009534964,0.0,0.0,36.39820241076966,23.259637120317212,5.563451491696996,0.0,8.78083009534964,10.772448428929591,0.0,0.0,0.0,13.349181944549816,0.0,47.52510539416365,0.0,0.0,0.0,8.78083009534964,0.0,0.0,0.0,0.0,6.923737199690624,17.55234772825318,36.39820241076966,0.0,10.772448428929591,0.0,0.0,6.425444744859191,8.78083009534964,0.0,5.563451491696996,5.386224214464796,10.949675706161791,6.06636706846161,18.19910120538483,19.056471336613843,0.0,0.0,25.25738851095994,0.0,0.0,1.5627777777777783,1.1492592592592594,0.0,10.504731670445954,-2.4023148148148152,1.928157596371882,0.0,0.16666666666666666,14,0,0,0,0,0,2,0,2,0,0,2,1,0,0,0,2,4.085820000000003,53.642000000000024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,2,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
