RMSE,MSE,MAE,R2,tRMSE,tMSE,tMAE,tR2,TopFolder,SubFolder
7.698752166,59.55827956,5.35729826,0.961898951,16.01918778,256.6143771,12.15584275,0.835836813,1cal,1_RF_cal
7.734489197,59.97006478,5.329290047,0.961635521,16.03038547,256.9732582,12.0899453,0.835607227,1cal,1_RF_cal
7.737781332,60.19681502,5.371539761,0.961490462,16.03548146,257.1366657,12.11490688,0.835502691,1cal,1_RF_cal
7.768592413,60.65167841,5.381629138,0.961199474,16.07665114,258.4587118,12.25535739,0.834656942,1cal,1_RF_cal
8.033618936,64.95526295,5.583984689,0.958446354,16.08116305,258.6038049,12.13662071,0.834564122,1cal,1_RF_cal
7.796568255,60.98551212,5.399628594,0.960985911,16.08853762,258.8410428,12.13745182,0.834412354,1cal,1_RF_cal
7.95800644,63.57692015,5.504593356,0.959328117,16.09240009,258.9653406,12.17138572,0.834332838,1cal,1_RF_cal
7.769035539,60.53664078,5.403573266,0.961273067,16.11720205,259.7642021,12.48188382,0.833821784,1cal,1_RF_cal
7.739069048,60.18869027,5.373216732,0.96149566,16.12721012,260.0869062,12.22031484,0.833615342,1cal,1_RF_cal
7.779421934,61.01912978,5.380676769,0.960964405,16.1379566,260.4336431,12.14602343,0.833393525,1cal,1_RF_cal
7.703587326,59.61398951,5.345179633,0.961863312,16.1550963,260.9871364,12.13097325,0.83303944,1cal,1_RF_cal
7.994948609,64.06753353,5.513125643,0.959014259,16.1554871,260.9997633,12.18227219,0.833031362,1cal,1_RF_cal
7.710049724,59.6970563,5.328952245,0.961810172,16.15713293,261.0529444,12.08385832,0.832997341,1cal,1_RF_cal
7.837170548,61.66812599,5.438750309,0.960549225,16.16373025,261.2661756,12.372504,0.832860931,1cal,1_RF_cal
7.741322974,60.14166988,5.333813584,0.96152574,16.16952636,261.4535827,12.30183147,0.832741042,1cal,1_RF_cal
7.753473719,60.33867761,5.350604392,0.961399709,16.18977039,262.1086654,12.18423808,0.832321968,1cal,1_RF_cal
7.786251869,60.82218808,5.368920677,0.961090394,16.2029327,262.5350281,12.22496607,0.832049212,1cal,1_RF_cal
8.062986334,65.21552939,5.529969031,0.958279855,16.21559256,262.9454419,12.23255567,0.831786659,1cal,1_RF_cal
7.683795422,59.2901893,5.307510726,0.962070456,16.21969851,263.0786196,12.08839899,0.831701461,1cal,1_RF_cal
7.715030944,59.72491834,5.325093776,0.961792348,16.23211708,263.4816249,12.16055983,0.831443648,1cal,1_RF_cal
7.981191531,63.91619313,5.49238897,0.959111075,16.24209204,263.8055539,12.24406559,0.831236422,1cal,1_RF_cal
7.766146616,60.70223187,5.385090369,0.961167134,16.24220322,263.8091656,12.19469235,0.831234111,1cal,1_RF_cal
7.680731898,59.37155831,5.306071432,0.962018402,16.25089991,264.0917479,12.15805378,0.831053336,1cal,1_RF_cal
7.815258042,61.26342484,5.371500563,0.960808123,16.25352977,264.1772299,12.20033664,0.830998651,1cal,1_RF_cal
7.732502385,59.93188899,5.341973148,0.961659943,16.28526823,265.2099613,12.41267897,0.830337984,1cal,1_RF_cal
7.860170168,61.90814922,5.415421072,0.960395675,16.28897197,265.3306079,12.42500094,0.830260803,1cal,1_RF_cal
7.959618283,63.62748356,5.509476461,0.959295771,16.29271995,265.4527235,12.38401354,0.830182683,1cal,1_RF_cal
7.949979972,63.57070031,5.49978448,0.959332096,16.29441223,265.5078698,12.40439738,0.830147404,1cal,1_RF_cal
7.776598779,60.62971406,5.363257903,0.961213525,16.29706442,265.5943088,12.2539295,0.830092107,1cal,1_RF_cal
7.748782368,60.16712502,5.371552171,0.961509456,16.30074938,265.7144302,12.47288986,0.830015262,1cal,1_RF_cal
7.744833194,60.31637735,5.346101109,0.961413975,16.30506734,265.855221,12.22992154,0.829925194,1cal,1_RF_cal
7.846284442,61.95374776,5.387885801,0.960366505,16.30516976,265.858561,12.10654043,0.829923057,1cal,1_RF_cal
7.779140144,60.88566412,5.365980269,0.961049787,16.31138558,266.0612995,12.2388922,0.82979336,1cal,1_RF_cal
8.2720242,68.65658609,5.612829909,0.956078517,16.31637284,266.2240228,12.31616397,0.829689262,1cal,1_RF_cal
7.726503845,59.91959175,5.334662859,0.96166781,16.31765303,266.2658005,12.30215291,0.829662535,1cal,1_RF_cal
7.892140828,62.34507506,5.425032165,0.960116162,16.32155579,266.3931834,12.25897376,0.829581045,1cal,1_RF_cal
8.259453286,68.3241546,5.695286663,0.956291183,16.32881044,266.6300503,12.44380849,0.829429515,1cal,1_RF_cal
7.798413156,61.04286528,5.370814722,0.960949221,16.32904898,266.6378407,12.30543549,0.829424531,1cal,1_RF_cal
7.700418911,59.68229449,5.329705162,0.961819615,16.33124565,266.7095843,12.26483864,0.829378635,1cal,1_RF_cal
7.86556059,62.09774051,5.43512778,0.960274389,16.3354821,266.8479753,12.24283365,0.829290102,1cal,1_RF_cal
7.797518726,60.99935285,5.347198546,0.960977057,16.33710017,266.9008419,12.31440666,0.829256282,1cal,1_RF_cal
7.737610497,60.10149784,5.349434597,0.961551439,16.33710708,266.9010677,12.38398601,0.829256138,1cal,1_RF_cal
7.751606475,60.52204507,5.379544152,0.961282404,16.34133361,267.0391843,12.26364233,0.829167781,1cal,1_RF_cal
7.873329823,62.12803222,5.400355116,0.96025501,16.34491532,267.1562567,12.15024201,0.829092886,1cal,1_RF_cal
7.786309634,60.71712862,5.375836243,0.961157604,16.34564072,267.1799704,12.29271272,0.829077716,1cal,1_RF_cal
