RMSE,MSE,MAE,R2,tRMSE,tMSE,tMAE,tR2,TopFolder,SubFolder,type
13.64830269,186.9625141,9.735671566,0.880395002,22.42666767,502.9554229,15.90520733,0.678245755,2rdkit,5_DT_cal,single
15.41247195,238.4517363,11.09739611,0.847455948,22.49124381,505.8560479,16.13438419,0.676390146,2rdkit,5_DT_cal,single
8.811947218,79.50347647,4.927759763,0.949139467,22.98015182,528.0873777,15.17349759,0.662168161,2rdkit,5_DT_cal,single
11.63229406,136.8661394,7.705925963,0.912443013,23.06459313,531.9754561,15.90609804,0.659680852,2rdkit,5_DT_cal,single
13.73961443,189.5084743,9.532824557,0.878766282,23.10244995,533.7231938,15.78271382,0.658562776,2rdkit,5_DT_cal,single
12.0576021,146.8361081,8.249718033,0.906064953,23.10331188,533.7630197,16.33817223,0.658537299,2rdkit,5_DT_cal,single
9.83443756,97.68585305,5.950691404,0.937507707,23.1402024,535.4689673,15.83241093,0.657445958,2rdkit,5_DT_cal,single
15.29655075,234.187465,11.21054967,0.850183918,23.17554119,537.1057095,17.22459378,0.656398889,2rdkit,5_DT_cal,single
13.34426724,178.6142115,9.158785912,0.885735638,23.26035235,541.0439914,16.78593658,0.653879463,2rdkit,5_DT_cal,single
14.85734825,221.2268948,10.69910836,0.858475147,23.28744289,542.3049962,16.41248501,0.653072764,2rdkit,5_DT_cal,single
15.79707679,250.0658476,11.4781223,0.840026085,23.41352884,548.1933329,16.56659311,0.649305835,2rdkit,5_DT_cal,single
15.41393442,238.0888084,11.20528102,0.847688122,23.50501548,552.4857525,16.66792441,0.646559858,2rdkit,5_DT_cal,single
14.58947355,213.6703391,10.27534983,0.863309281,23.65477775,559.5485102,16.42335832,0.64204162,2rdkit,5_DT_cal,single
15.62889687,244.6251539,11.35980499,0.843506645,23.68606384,561.0296201,16.77398513,0.641094114,2rdkit,5_DT_cal,single
10.88106884,119.5652283,6.867737343,0.923510876,23.69023745,561.2273506,16.23192525,0.64096762,2rdkit,5_DT_cal,single
14.47812452,210.7196328,10.3146472,0.865196927,23.71232255,562.2742405,16.85202154,0.640297896,2rdkit,5_DT_cal,single
14.5922008,213.5068905,10.600198,0.863413843,23.71828723,562.5571489,16.53422667,0.640116912,2rdkit,5_DT_cal,single
16.30154893,266.4701531,12.0657146,0.829531805,23.78619794,565.7832123,16.8987754,0.638053112,2rdkit,5_DT_cal,single
14.84110484,220.7796134,10.68876948,0.858761285,23.84717328,568.6876733,17.00648321,0.636195049,2rdkit,5_DT_cal,single
15.72490385,248.6846114,11.37687554,0.8409097,23.91114281,571.7427506,17.2854132,0.634240633,2rdkit,5_DT_cal,single
11.36753814,130.8729309,6.926209108,0.916277031,23.92380411,572.3484032,16.03259778,0.633853181,2rdkit,5_DT_cal,single
12.74463898,163.9081455,8.522202748,0.895143507,24.00943548,576.452992,16.10841527,0.631227364,2rdkit,5_DT_cal,single
15.31869494,235.4967979,10.8981502,0.849346302,24.07665251,579.685196,17.04440028,0.629159635,2rdkit,5_DT_cal,single
14.70867869,217.4590753,10.39258169,0.860885523,24.08781107,580.2226421,16.38288542,0.628815816,2rdkit,5_DT_cal,single
13.83974797,192.8225041,9.748202875,0.876646207,24.0981446,580.7205732,17.12144061,0.628497276,2rdkit,5_DT_cal,single
7.93008941,67.15794582,3.092580735,0.957037238,24.12256422,581.8981044,15.87355267,0.627743978,2rdkit,5_DT_cal,single
16.08219889,260.0108925,11.75936094,0.83366397,24.13429348,582.4641216,17.63864936,0.627381881,2rdkit,5_DT_cal,single
12.2735182,151.7670599,8.240623486,0.90291049,24.16860351,584.1213958,16.54575679,0.626321678,2rdkit,5_DT_cal,single
13.40949775,180.4116378,9.504146464,0.884585775,24.17193108,584.2822523,16.73545157,0.626218773,2rdkit,5_DT_cal,single
13.39656293,180.1125074,9.264751952,0.884777137,24.19719408,585.5042012,16.60089308,0.625437059,2rdkit,5_DT_cal,single
16.39433778,269.2233183,11.88984642,0.827770531,24.24465577,587.8033335,17.22781796,0.623966242,2rdkit,5_DT_cal,single
13.76559101,190.59685,9.548491669,0.878070018,24.2448073,587.8106808,16.84433509,0.623961542,2rdkit,5_DT_cal,single
14.26449674,203.8849993,10.00442057,0.869569228,24.25231734,588.1748961,17.24709039,0.623728543,2rdkit,5_DT_cal,single
16.27123175,265.5624566,11.59140785,0.830112483,24.2708573,589.074514,17.30115263,0.623153033,2rdkit,5_DT_cal,single
13.25806791,177.5611904,9.014673615,0.886409284,24.27398135,589.2261707,16.7166728,0.623056014,2rdkit,5_DT_cal,single
14.63083667,214.7393822,10.31801136,0.862625385,24.30518621,590.7420769,16.41202671,0.622086248,2rdkit,5_DT_cal,single
16.01500068,257.3008841,11.51158471,0.835397636,24.31371393,591.156685,16.94159916,0.621821012,2rdkit,5_DT_cal,single
16.543289,274.2040646,12.18852328,0.824584212,24.33396018,592.1416181,17.02434663,0.621190924,2rdkit,5_DT_cal,single
16.21680273,264.5168833,11.87442142,0.830781365,24.39116123,594.9287463,18.21064003,0.619407922,2rdkit,5_DT_cal,single
15.05286045,227.3397538,10.65155043,0.854564585,24.4012497,595.4209871,17.22357579,0.619093022,2rdkit,5_DT_cal,single
