RMSE,MSE,MAE,R2,tRMSE,tMSE,tMAE,tR2,TopFolder,SubFolder,type
6.718842577,45.59591302,3.461052411,0.970831056,18.74801653,351.4881238,13.01131885,0.7751435,2rdkit,3_GBR_cal,single
6.589104747,44.4049565,2.865351436,0.971592943,18.94433469,358.8878168,12.84844549,0.770409716,2rdkit,3_GBR_cal,single
6.512376199,44.67806586,2.767725834,0.971418228,19.05116581,362.9469186,12.86867215,0.767812998,2rdkit,3_GBR_cal,single
6.793046157,46.75946307,3.341690229,0.970086701,19.19681049,368.517533,12.80571891,0.764249325,2rdkit,3_GBR_cal,single
6.897435423,48.03343562,3.524834554,0.969271707,19.29242921,372.1978248,13.31576095,0.761894942,2rdkit,3_GBR_cal,single
6.626101928,46.23928546,2.973867487,0.970419473,19.34268054,374.1392903,13.14876486,0.760652934,2rdkit,3_GBR_cal,single
6.745965057,46.23478262,2.942285759,0.970422354,19.35173388,374.489604,13.20856792,0.760428829,2rdkit,3_GBR_cal,single
6.734557826,46.11222784,2.912023901,0.970500755,19.35780676,374.7246827,13.13424479,0.760278442,2rdkit,3_GBR_cal,single
6.851186929,47.70108974,3.190211013,0.969484317,19.36429831,374.976049,12.97462964,0.760117637,2rdkit,3_GBR_cal,single
6.757553838,46.22187064,2.971169981,0.970430614,19.39534183,376.1792848,13.2774678,0.759347894,2rdkit,3_GBR_cal,single
6.750344519,46.19412725,2.862128854,0.970448362,19.41061606,376.7720159,12.91911607,0.758968708,2rdkit,3_GBR_cal,single
7.199323897,52.51230145,3.674300832,0.966406454,19.43788129,377.8312292,13.34057304,0.7582911,2rdkit,3_GBR_cal,single
6.937618124,48.84578977,3.40044232,0.968752022,19.46484852,378.8803279,13.10621446,0.757619963,2rdkit,3_GBR_cal,single
6.717548167,46.55590493,2.993000598,0.970216923,19.4786273,379.4169217,13.37771235,0.75727669,2rdkit,3_GBR_cal,single
6.928191118,48.78731066,3.412597436,0.968789432,19.51813589,380.9576288,12.93126705,0.756291058,2rdkit,3_GBR_cal,single
7.039261446,50.843592,3.717866063,0.967473973,19.53453454,381.5980395,13.7241884,0.755881369,2rdkit,3_GBR_cal,single
6.899686328,48.52643511,3.474978233,0.968956321,19.56549137,382.8084527,13.4623029,0.755107035,2rdkit,3_GBR_cal,single
6.821907986,47.963878,3.207408917,0.969316204,19.59453626,383.9458512,13.35083275,0.754379411,2rdkit,3_GBR_cal,single
6.781553121,46.88845024,2.928243464,0.970004185,19.5960858,384.0065786,13.53255878,0.754340562,2rdkit,3_GBR_cal,single
6.888989098,48.14168775,3.352260721,0.969202455,19.61396511,384.7076273,13.65943817,0.753892082,2rdkit,3_GBR_cal,single
6.82227493,47.90888624,3.017595565,0.969351384,19.61833084,384.8789051,13.0887773,0.753782511,2rdkit,3_GBR_cal,single
6.851155933,48.65368399,3.165389457,0.968874917,19.62957644,385.3202711,13.2515532,0.753500157,2rdkit,3_GBR_cal,single
6.866845072,47.60170097,3.152566438,0.969547899,19.64297032,385.8462832,13.41061272,0.753163653,2rdkit,3_GBR_cal,single
6.748923631,47.25293053,2.897109825,0.969771017,19.65967928,386.5029894,13.13467171,0.75274354,2rdkit,3_GBR_cal,single
6.773783131,47.20000472,2.913167401,0.969804875,19.66790993,386.8266812,13.3157194,0.752536465,2rdkit,3_GBR_cal,single
6.736680133,47.46671667,3.055668095,0.969634252,19.67230203,386.9994673,13.46664107,0.752425929,2rdkit,3_GBR_cal,single
7.384716186,55.09425569,4.133945022,0.964754708,19.67543704,387.1228228,13.56754301,0.752347016,2rdkit,3_GBR_cal,single
8.060404915,65.48510893,5.252674434,0.958107397,19.6792645,387.2734514,13.98534191,0.752250654,2rdkit,3_GBR_cal,single
6.730422329,47.1257592,2.818679389,0.969852372,19.68878927,387.648423,13.52768833,0.752010775,2rdkit,3_GBR_cal,single
6.833847792,47.12433072,2.779007813,0.969853286,19.70481006,388.2795395,13.38340758,0.751607032,2rdkit,3_GBR_cal,single
7.626747521,59.146003,4.679652731,0.962162695,19.76454425,390.6372092,13.79813954,0.750098767,2rdkit,3_GBR_cal,single
6.801992015,47.53727701,2.881638563,0.969589113,19.76559479,390.6787376,13.85929299,0.7500722,2rdkit,3_GBR_cal,single
6.816354685,47.5349933,2.75198946,0.969590574,19.77873669,391.1984249,13.32387352,0.749739742,2rdkit,3_GBR_cal,single
6.843487969,47.66618743,2.894966704,0.969506645,19.7803893,391.2638008,13.60736134,0.749697919,2rdkit,3_GBR_cal,single
6.83750121,47.56271076,2.800877366,0.969572842,19.79154162,391.7051196,13.50026571,0.749415596,2rdkit,3_GBR_cal,single
7.026638492,50.02688403,3.607439905,0.967996443,19.79508361,391.8453353,13.69247737,0.749325896,2rdkit,3_GBR_cal,single
6.783662936,47.64747201,2.85246048,0.969518618,19.79689588,391.9170864,13.65222383,0.749279995,2rdkit,3_GBR_cal,single
6.874105546,47.59739754,2.853804463,0.969550652,19.80004089,392.0416192,13.49949201,0.749200328,2rdkit,3_GBR_cal,single
6.868267826,47.7971184,2.88481517,0.969422885,19.81565742,392.6602788,13.57757569,0.748804554,2rdkit,3_GBR_cal,single
6.816874105,47.64299455,2.793559908,0.969521482,19.82496528,393.0292483,13.71493335,0.748568515,2rdkit,3_GBR_cal,single
7.905861201,62.75759876,4.618481273,0.959852259,19.87268514,394.9236147,13.82823415,0.747356637,2rdkit,3_GBR_cal,single
6.896512313,48.00304747,2.866690815,0.969291147,19.88764327,395.5183549,13.5509907,0.746976166,2rdkit,3_GBR_cal,single
6.933199002,49.61729775,3.156379457,0.968258467,19.9062203,396.2576066,13.53034114,0.746503246,2rdkit,3_GBR_cal,single
6.882692916,48.47290741,3.098255289,0.968990565,19.91903915,396.7681208,13.59542247,0.746176656,2rdkit,3_GBR_cal,single
6.883733258,48.04332443,2.832418625,0.96926538,19.91905418,396.7687193,13.52761053,0.746176273,2rdkit,3_GBR_cal,single
7.025078927,50.37138172,3.286159065,0.967776059,19.93372345,397.3533304,13.54729775,0.745802282,2rdkit,3_GBR_cal,single
7.103766421,51.3705001,3.442498788,0.967136896,19.93490735,397.400531,13.7249049,0.745772086,2rdkit,3_GBR_cal,single
6.899506731,48.49942726,3.007994291,0.968973599,19.94908436,397.9659668,13.59145774,0.745410362,2rdkit,3_GBR_cal,single
6.791102747,48.3384251,2.883165272,0.969076597,19.96640508,398.6573318,13.73483252,0.744968077,2rdkit,3_GBR_cal,single
6.905578528,48.29736103,2.857529269,0.969102866,19.96787713,398.7161172,13.4507152,0.74493047,2rdkit,3_GBR_cal,single
9.050543921,82.40082924,5.852526381,0.947285951,19.9729429,398.918448,13.85353966,0.744801034,2rdkit,3_GBR_cal,single
6.880134428,48.39880763,2.792319645,0.969037968,20.00004472,400.0017886,13.51417516,0.744107991,2rdkit,3_GBR_cal,single
6.970896408,49.38994496,3.231235047,0.968403911,20.02274508,400.9103205,13.83139045,0.743526779,2rdkit,3_GBR_cal,single
6.916326017,48.83149419,3.123062763,0.968761167,20.0253166,401.0133048,13.92080933,0.743460897,2rdkit,3_GBR_cal,single
7.151571718,51.74313024,3.537114517,0.966898514,20.07623426,403.055182,13.43931156,0.742154653,2rdkit,3_GBR_cal,single
6.877822517,48.71102842,2.895324818,0.968838232,20.08423573,403.3765249,13.61812173,0.741949081,2rdkit,3_GBR_cal,single
6.992666961,49.52136833,3.118635461,0.968319836,20.08920346,403.5760957,13.64765847,0.74182141,2rdkit,3_GBR_cal,single
7.040203594,49.8595829,3.097150481,0.968103471,20.10512027,404.215861,13.62449054,0.741412135,2rdkit,3_GBR_cal,single
6.89735053,49.30366602,3.094939764,0.968459106,20.11832856,404.7471441,13.51515706,0.741072258,2rdkit,3_GBR_cal,single
7.360865982,54.91424577,3.89812576,0.964869865,20.12907283,405.1795731,13.82063546,0.740795622,2rdkit,3_GBR_cal,single
6.998161528,50.15204032,3.143015586,0.967916378,20.14097185,405.6587472,13.60141536,0.740489081,2rdkit,3_GBR_cal,single
7.215623843,52.93829963,3.684110125,0.966133932,20.16338184,406.5619673,13.60073972,0.739911267,2rdkit,3_GBR_cal,single
7.04174892,50.84750844,3.357095899,0.967471468,20.16470962,406.615514,13.61538001,0.739877011,2rdkit,3_GBR_cal,single
6.882212359,49.10687025,2.909114088,0.968585001,20.17038694,406.8445093,13.51833395,0.739730517,2rdkit,3_GBR_cal,single
6.992420167,49.79777353,3.032737478,0.968143012,20.1816652,407.2996103,13.40120131,0.739439377,2rdkit,3_GBR_cal,single
6.962176912,49.31805765,2.934585594,0.968449899,20.18465004,407.4200971,13.58405808,0.739362298,2rdkit,3_GBR_cal,single
7.470624122,56.50363075,4.092224674,0.963853093,20.19465487,407.8240852,13.72978394,0.739103856,2rdkit,3_GBR_cal,single
7.757135315,60.85267247,4.768796503,0.961070893,20.20223067,408.130124,14.0820982,0.738908074,2rdkit,3_GBR_cal,single
6.950409392,49.3805682,2.970028321,0.968409909,20.21251608,408.5458065,13.92467905,0.738642151,2rdkit,3_GBR_cal,single
6.970788058,49.11260048,2.789897951,0.968581336,20.21253202,408.5464506,13.50320706,0.738641739,2rdkit,3_GBR_cal,single
6.936733283,49.35776724,2.869613005,0.968424496,20.22168278,408.9164543,13.64759879,0.738405038,2rdkit,3_GBR_cal,single
6.985994865,49.37050542,2.800716171,0.968416347,20.22716649,409.1382644,13.55081735,0.73826314,2rdkit,3_GBR_cal,single
7.080643556,51.24199865,3.508655056,0.967219102,20.23967983,409.6446397,13.58596779,0.737939198,2rdkit,3_GBR_cal,single
6.958522573,49.33376285,2.8880243,0.968439852,20.24021972,409.6664944,13.71723084,0.737925216,2rdkit,3_GBR_cal,single
6.923014821,49.5247365,2.992634667,0.968317681,20.24243057,409.7559953,14.20693662,0.73786796,2rdkit,3_GBR_cal,single
7.304665941,54.48508999,4.002813205,0.965144408,20.25297226,410.1828853,13.8814912,0.737594867,2rdkit,3_GBR_cal,single
7.053137041,50.72083361,3.2612524,0.967552505,20.27549227,411.0955866,13.81613557,0.737010987,2rdkit,3_GBR_cal,single
6.935031366,49.67361755,3.009952923,0.968222438,20.27720824,411.165174,13.81365119,0.73696647,2rdkit,3_GBR_cal,single
8.456545084,72.38918279,5.185808887,0.953690674,20.29148398,411.7443221,14.17238136,0.736595974,2rdkit,3_GBR_cal,single
6.98631238,49.81959882,2.943295395,0.968129049,20.29275482,411.7958981,13.62731387,0.736562979,2rdkit,3_GBR_cal,single
