RMSE,MSE,MAE,R2,tRMSE,tMSE,tMAE,tR2,TopFolder,SubFolder,type
23.44098014,549.5510448,18.44664582,0.64843727,29.82081187,889.2808205,23.426407,0.431102905,2rdkit,6_KRR_cal,single
23.38477356,546.9148628,18.36519644,0.650123707,30.16965324,910.2079766,23.76676047,0.417715235,2rdkit,6_KRR_cal,single
24.43363026,597.0667954,19.40019636,0.618040154,30.24348064,914.6681212,23.91209288,0.414861959,2rdkit,6_KRR_cal,single
24.45126313,597.8905962,19.41619261,0.617513146,30.28542212,917.2067931,24.05988186,0.413237902,2rdkit,6_KRR_cal,single
23.81332174,567.1694404,18.78257873,0.637166304,30.31172463,918.8006502,23.67218595,0.412218268,2rdkit,6_KRR_cal,single
23.39727056,547.5594961,18.35311006,0.649711318,30.4180604,925.2583982,23.66012338,0.408087071,2rdkit,6_KRR_cal,single
23.91580905,572.0039941,18.86539178,0.634073509,30.42410083,925.6259116,23.95385457,0.407851963,2rdkit,6_KRR_cal,single
24.32006561,591.4865208,19.26038826,0.621610007,30.47067128,928.4618085,23.98035782,0.406037763,2rdkit,6_KRR_cal,single
24.43708895,597.2060401,19.39078746,0.617951075,30.50069725,930.2925325,24.26675113,0.404866599,2rdkit,6_KRR_cal,single
24.76843407,613.4927169,19.72091056,0.607532046,30.51451853,931.135841,24.34031879,0.404327112,2rdkit,6_KRR_cal,single
25.12345049,631.2180755,20.04580465,0.596192652,30.56024866,933.928798,24.32895914,0.402540381,2rdkit,6_KRR_cal,single
26.44095673,699.130832,21.23317128,0.552747017,30.596939,936.1726759,24.73059699,0.401104912,2rdkit,6_KRR_cal,single
24.50910888,600.720243,19.46945744,0.615702944,30.60627794,936.7442496,24.29871144,0.40073926,2rdkit,6_KRR_cal,single
25.88431781,670.0206307,20.7657897,0.571369604,30.62476392,937.8761651,24.63006282,0.400015143,2rdkit,6_KRR_cal,single
24.68919638,609.5651809,19.63391461,0.610044597,30.67035701,940.6707993,24.40290696,0.39822734,2rdkit,6_KRR_cal,single
24.32791345,591.9122248,19.27249249,0.621337673,30.69136465,941.959864,24.14853303,0.39740269,2rdkit,6_KRR_cal,single
24.38612325,594.7560867,19.34387394,0.619518377,30.71026361,943.1202908,24.44575167,0.396660334,2rdkit,6_KRR_cal,single
25.54466311,652.5610737,20.43139203,0.582538957,30.71184461,943.2173994,24.60133213,0.396598211,2rdkit,6_KRR_cal,single
25.60087878,655.4423348,20.50211087,0.580695736,30.71690126,943.5280228,24.73746142,0.396399496,2rdkit,6_KRR_cal,single
25.92527599,672.1428188,20.76052485,0.570011983,30.75975492,946.1625228,24.52761317,0.394714135,2rdkit,6_KRR_cal,single
24.64131337,607.2406457,19.55711028,0.611531666,30.78274251,947.5772362,24.42359732,0.393809105,2rdkit,6_KRR_cal,single
23.28183573,542.1482346,18.2364023,0.653173049,30.80234852,948.7846744,23.61177445,0.393036674,2rdkit,6_KRR_cal,single
25.47904813,649.2083551,20.37854289,0.584683782,30.80259895,948.8001023,24.60803404,0.393026804,2rdkit,6_KRR_cal,single
23.63648465,558.7374583,18.60536014,0.642560472,30.82136524,949.9565555,24.21613277,0.392286989,2rdkit,6_KRR_cal,single
26.32829104,693.1979805,21.1402937,0.556542424,30.84175436,951.213812,24.789563,0.391482688,2rdkit,6_KRR_cal,single
23.05296077,531.6010732,18.01175558,0.659920355,30.84952563,951.6932318,24.00942229,0.39117599,2rdkit,6_KRR_cal,single
26.01383092,676.738258,20.86480168,0.567072155,30.85218242,951.8571599,24.68582737,0.391071121,2rdkit,6_KRR_cal,single
24.0546318,578.6576157,19.02186446,0.629817006,30.86389553,952.5800476,24.52759993,0.39060867,2rdkit,6_KRR_cal,single
24.62548764,606.468581,19.53591733,0.612025576,30.87075947,953.00379,24.34719617,0.390337591,2rdkit,6_KRR_cal,single
