RMSE,MSE,MAE,R2,tRMSE,tMSE,tMAE,tR2,TopFolder,SubFolder,type
14.6727195,224.5119165,10.49838273,0.856373629,27.23216893,741.5910246,19.20163781,0.525584079,2rdkit,4_MLP_cal,single
14.3884189,211.4693224,10.1346934,0.864717331,27.24961518,742.5415275,18.81361013,0.524976016,2rdkit,4_MLP_cal,single
16.06850269,266.206733,11.69353837,0.829700322,27.25642707,742.9128168,20.12901148,0.524738493,2rdkit,4_MLP_cal,single
13.00735069,173.053142,8.862652164,0.889293205,27.3258906,746.7042972,18.70083503,0.52231298,2rdkit,4_MLP_cal,single
13.56530218,187.4688099,9.55807602,0.88007111,27.36059142,748.6019629,18.86805372,0.521098991,2rdkit,4_MLP_cal,single
13.57862518,189.1621934,9.400693324,0.878987807,27.36273368,748.7191942,19.40698952,0.521023995,2rdkit,4_MLP_cal,single
16.62937517,287.5657895,12.57506291,0.816036354,27.37784828,749.5465763,20.78929356,0.520494697,2rdkit,4_MLP_cal,single
13.8606076,198.3585897,9.773102721,0.873104622,27.40018316,750.7700375,19.82547413,0.519712015,2rdkit,4_MLP_cal,single
14.7974444,225.899604,10.82501955,0.855485888,27.43431546,752.6416646,19.26184126,0.518514684,2rdkit,4_MLP_cal,single
14.53956689,224.401372,10.36614911,0.856444347,27.43775834,752.8305826,19.72999933,0.518393828,2rdkit,4_MLP_cal,single
13.73708421,193.1929679,9.787838306,0.876409211,27.47766024,755.0218121,19.36546394,0.516992039,2rdkit,4_MLP_cal,single
13.20783714,179.089803,9.109053682,0.885431389,27.49235523,755.8295963,19.1221569,0.516475278,2rdkit,4_MLP_cal,single
14.49908724,217.549231,10.3346764,0.860827848,27.50173959,756.3456802,19.25330944,0.516145125,2rdkit,4_MLP_cal,single
16.12502417,263.3922593,12.16403722,0.831500818,27.54861983,758.9264545,19.85015227,0.514494134,2rdkit,4_MLP_cal,single
15.06908294,235.6993548,11.29507188,0.849216721,27.55922444,759.5108518,19.86659738,0.514120279,2rdkit,4_MLP_cal,single
14.24086785,212.8392942,10.2201942,0.863840923,27.56168134,759.6462782,19.16162744,0.514033643,2rdkit,4_MLP_cal,single
15.08639621,234.8633321,10.8580951,0.849751547,27.56507812,759.8335319,19.4732763,0.513913852,2rdkit,4_MLP_cal,single
14.79790936,228.1709142,10.77973883,0.854032869,27.59022574,761.2205565,19.16805144,0.513026534,2rdkit,4_MLP_cal,single
15.48344212,249.562034,11.25851753,0.840348388,27.60277237,761.9130426,19.54232413,0.512583532,2rdkit,4_MLP_cal,single
14.80419036,224.7383764,10.58079424,0.856228756,27.60828263,762.2172699,19.42780784,0.51238891,2rdkit,4_MLP_cal,single
14.93697901,229.0742527,10.61009456,0.853454979,27.64776507,764.3989134,19.08794928,0.510993253,2rdkit,4_MLP_cal,single
15.90419013,263.905238,11.90838462,0.831172651,27.66865851,765.5546637,19.81038447,0.510253888,2rdkit,4_MLP_cal,single
13.44874819,182.3510639,9.049984369,0.883345072,27.68103696,766.2398073,18.63201205,0.509815583,2rdkit,4_MLP_cal,single
16.50648094,307.5014256,11.99477583,0.803282986,27.69471634,766.9973134,19.79145447,0.509330986,2rdkit,4_MLP_cal,single
15.11194156,235.1325192,10.89723268,0.849579341,27.70500066,767.5670614,20.00303392,0.508966503,2rdkit,4_MLP_cal,single
14.1983309,210.9650554,9.926373437,0.865039924,27.70706994,767.6817244,19.04852815,0.50889315,2rdkit,4_MLP_cal,single
15.58764532,252.0403388,11.31860839,0.83876295,27.71550115,768.1490042,19.85813912,0.508594218,2rdkit,4_MLP_cal,single
13.93248791,204.5707703,9.907543103,0.869130522,27.72383379,768.6109598,19.72842606,0.508298693,2rdkit,4_MLP_cal,single
13.23591581,178.57166,8.877850374,0.885762859,27.76322998,770.7969391,18.50231127,0.506900262,2rdkit,4_MLP_cal,single
16.24751195,277.3323149,12.01583497,0.822582985,27.80506094,773.1214137,19.35217165,0.505413233,2rdkit,4_MLP_cal,single
14.4238273,218.4390078,10.33524776,0.860258634,27.80701695,773.2301914,19.81011264,0.505343645,2rdkit,4_MLP_cal,single
15.9239694,265.700111,11.69416173,0.830024422,27.82305305,774.1222811,20.41468776,0.504772951,2rdkit,4_MLP_cal,single
12.87607517,170.173964,8.616827482,0.891135093,27.83123127,774.5774343,18.10806413,0.504481777,2rdkit,4_MLP_cal,single
15.03341428,229.5458192,11.07708878,0.853153305,27.83368814,774.7141953,20.05217589,0.504394287,2rdkit,4_MLP_cal,single
15.2733271,246.1858142,10.84993183,0.842508248,27.83501877,774.7882699,19.57255029,0.504346899,2rdkit,4_MLP_cal,single
13.00409947,171.9315895,8.774011327,0.890010692,27.83733641,774.9172986,18.57565253,0.504264356,2rdkit,4_MLP_cal,single
17.75150628,326.4209189,13.48902655,0.791179672,27.85726755,776.0273556,20.56359379,0.503554223,2rdkit,4_MLP_cal,single
15.25778324,239.4216483,11.20015225,0.846835469,27.89057691,777.8842802,20.58909399,0.502366298,2rdkit,4_MLP_cal,single
15.9664841,271.2853081,11.72715638,0.82645142,27.89811529,778.304837,20.03377802,0.502097256,2rdkit,4_MLP_cal,single
14.77844466,224.3395583,10.64760791,0.856483891,27.9169734,779.357404,19.29190671,0.5014239,2rdkit,4_MLP_cal,single
16.50766868,292.0553789,12.05943719,0.813164242,27.9228138,779.6835304,19.85213949,0.501215268,2rdkit,4_MLP_cal,single
14.1520681,205.1751076,9.865398148,0.868743911,27.92866844,780.0105206,19.29570427,0.501006084,2rdkit,4_MLP_cal,single
15.60746538,246.2348679,11.40140165,0.842476867,27.94398923,780.8665338,19.86297348,0.500458469,2rdkit,4_MLP_cal,single
14.54960751,226.2358583,10.32147087,0.855270777,27.94645924,781.0045839,19.6389791,0.500370155,2rdkit,4_MLP_cal,single
13.11270508,178.664171,9.101595858,0.885703677,27.95720844,781.6055035,19.39817611,0.49998573,2rdkit,4_MLP_cal,single
14.02331113,202.4603676,9.789903209,0.870480604,27.982401,783.0147657,19.25701808,0.499084187,2rdkit,4_MLP_cal,single
13.46384082,186.9096866,9.11885115,0.880428797,27.98740412,783.2947896,19.85821252,0.498905048,2rdkit,4_MLP_cal,single
16.24567387,275.9404351,12.18643701,0.823473409,27.99515899,783.7289268,20.06516157,0.498627318,2rdkit,4_MLP_cal,single
16.48932243,283.5365154,12.26019132,0.81861399,28.00224769,784.1258758,20.20868924,0.498373379,2rdkit,4_MLP_cal,single
15.10405907,232.1223353,10.79369232,0.851505037,28.02049433,785.1481023,20.06506211,0.497719433,2rdkit,4_MLP_cal,single
16.04069283,269.4304703,11.79140565,0.82763801,28.04524016,786.5354956,20.47040693,0.49683188,2rdkit,4_MLP_cal,single
14.78052236,222.1435224,10.33017702,0.857888755,28.05448441,787.0540956,19.520165,0.496500118,2rdkit,4_MLP_cal,single
14.90683708,228.5334787,10.64444821,0.853800926,28.05489507,787.0771375,19.18898122,0.496485377,2rdkit,4_MLP_cal,single
15.95958323,262.2997574,11.74152739,0.832199721,28.09376323,789.2595324,20.70292152,0.49508924,2rdkit,4_MLP_cal,single
15.52492355,245.5133479,11.15060115,0.842938443,28.09704729,789.4440665,19.62648662,0.494971188,2rdkit,4_MLP_cal,single
17.02373607,297.2134799,13.01797929,0.809864464,28.12420956,790.9711631,21.17294022,0.493994263,2rdkit,4_MLP_cal,single
15.43397759,245.2132003,11.13135666,0.843130455,28.14712032,792.2603826,19.88553388,0.493169514,2rdkit,4_MLP_cal,single
15.43543106,250.4955429,11.00980787,0.839751197,28.18621062,794.4624689,20.00036113,0.49176078,2rdkit,4_MLP_cal,single
16.99959117,293.7776934,12.50017921,0.81206243,28.18911895,794.6264272,20.35536108,0.491655891,2rdkit,4_MLP_cal,single
16.14130127,263.3171344,12.13967193,0.831548877,28.19367589,794.8833599,20.53680597,0.491491525,2rdkit,4_MLP_cal,single
15.31543831,252.6969044,11.29523691,0.838342927,28.20857322,795.7236034,20.26698655,0.490953998,2rdkit,4_MLP_cal,single
14.57206642,219.388596,10.2646435,0.859651156,28.20928419,795.7637146,20.08764315,0.490928338,2rdkit,4_MLP_cal,single
14.38675726,216.083061,10.41584745,0.861765797,28.21728501,796.2151733,19.0114828,0.490639527,2rdkit,4_MLP_cal,single
14.13102847,203.2305779,9.798377286,0.869987879,28.24109554,797.5594773,19.4889417,0.48977954,2rdkit,4_MLP_cal,single
15.80949612,261.0220096,11.51510819,0.833017131,28.24916005,798.0150437,20.12437006,0.489488101,2rdkit,4_MLP_cal,single
15.00587815,229.6097351,10.85748654,0.853112416,28.25322045,798.2444656,19.96606038,0.489341334,2rdkit,4_MLP_cal,single
16.33969424,280.4262431,12.22817575,0.820603716,28.26018075,798.6378161,20.55867418,0.489089697,2rdkit,4_MLP_cal,single
15.92664845,263.3528853,11.6431523,0.831526006,28.2659221,798.9623521,19.89181573,0.488882083,2rdkit,4_MLP_cal,single
15.23258255,242.6430953,11.21005311,0.844774621,28.26821466,799.0919603,19.91267688,0.488799169,2rdkit,4_MLP_cal,single
15.49654702,247.4492477,11.16717305,0.841699995,28.27188108,799.2992598,20.31393613,0.488666553,2rdkit,4_MLP_cal,single
15.12002042,233.4833285,10.87070832,0.850634373,28.2770601,799.5921281,19.31677248,0.488479198,2rdkit,4_MLP_cal,single
16.75912556,287.2413435,12.80280987,0.816243911,28.28571567,800.0817112,20.62146784,0.488165998,2rdkit,4_MLP_cal,single
15.48837718,244.6083623,11.12022854,0.843517387,28.29042411,800.3480962,19.45278536,0.487995584,2rdkit,4_MLP_cal,single
15.09263978,230.5973862,10.78002304,0.852480589,28.29143432,800.4052557,20.24496274,0.487959018,2rdkit,4_MLP_cal,single
15.23329229,236.7861351,11.03129095,0.848521478,28.31266022,801.6067286,20.43159097,0.487190403,2rdkit,4_MLP_cal,single
