RMSE,MSE,MAE,R2,tRMSE,tMSE,tMAE,tR2,TopFolder,SubFolder,type
10.08725598,101.9693123,6.919425805,0.934767461,20.05240343,402.0988835,14.28310711,0.742766423,2rdkit,1_RF_cal,single
10.07691058,101.9095772,6.909265078,0.934805675,20.08015326,403.2125551,14.22289887,0.742053977,2rdkit,1_RF_cal,single
10.22801302,104.9484033,7.041151676,0.932861656,20.14842704,405.959112,14.42843809,0.74029693,2rdkit,1_RF_cal,single
10.17036063,103.7731214,6.982033584,0.933613516,20.20188188,408.1160316,14.34880516,0.73891709,2rdkit,1_RF_cal,single
10.22885754,105.0400366,7.006734205,0.932803036,20.34882554,414.0747009,14.46022639,0.735105167,2rdkit,1_RF_cal,single
10.38671962,108.2467706,7.070994302,0.930751601,20.34919169,414.0896024,14.39711546,0.735095634,2rdkit,1_RF_cal,single
10.22717354,104.9152073,6.981020353,0.932882892,20.36490835,414.7294923,14.53764605,0.734686279,2rdkit,1_RF_cal,single
10.30178655,106.3793532,6.975899949,0.931946238,20.41856365,416.9177415,14.34654332,0.733286397,2rdkit,1_RF_cal,single
10.31871652,107.122376,7.043514295,0.931470907,20.47974753,419.4200587,14.34599268,0.731685596,2rdkit,1_RF_cal,single
10.3395705,107.1998454,7.040948974,0.931421347,20.49145184,419.8995986,14.48675654,0.731378822,2rdkit,1_RF_cal,single
10.44063727,109.6038581,7.062250141,0.929883435,20.5007043,420.2788766,14.70949688,0.731136187,2rdkit,1_RF_cal,single
10.16864255,103.8363203,6.948952137,0.933573086,20.5390205,421.851363,14.4939517,0.730130225,2rdkit,1_RF_cal,single
10.40592456,108.8830156,7.106087954,0.930344578,20.57195741,423.2054317,14.73855314,0.729263991,2rdkit,1_RF_cal,single
10.30238767,106.5751176,6.995609017,0.931821003,20.59166497,424.0166663,14.63139464,0.728745022,2rdkit,1_RF_cal,single
10.46924688,109.9677969,7.143830525,0.929650613,20.60496313,424.5645055,14.76364026,0.728394554,2rdkit,1_RF_cal,single
10.21171721,104.4480042,7.004321991,0.933181775,20.61259221,424.8789576,14.57512182,0.728193391,2rdkit,1_RF_cal,single
10.22584717,105.1677557,7.005843847,0.93272133,20.62387479,425.3442115,14.83335408,0.727895755,2rdkit,1_RF_cal,single
10.27189401,105.9593883,7.003789393,0.932214901,20.6350636,425.8058496,14.54668968,0.727600433,2rdkit,1_RF_cal,single
10.22773168,105.0634433,6.990433563,0.932788062,20.63744852,425.9042813,14.74393995,0.727537463,2rdkit,1_RF_cal,single
10.20474458,104.6019491,6.964445396,0.933083292,20.63932177,425.9816033,14.54548694,0.727487998,2rdkit,1_RF_cal,single
10.30903866,106.8892419,7.081792699,0.931620049,20.63952449,425.9899714,14.61272672,0.727482645,2rdkit,1_RF_cal,single
10.30579693,106.6555557,7.002100397,0.931769544,20.65038359,426.4383426,14.7813449,0.72719581,2rdkit,1_RF_cal,single
10.3211049,106.7655991,7.044288575,0.931699146,20.68403777,427.8294185,14.65947063,0.726305901,2rdkit,1_RF_cal,single
10.25433397,105.6907117,7.003713587,0.932386781,20.68734213,427.9661242,14.83918409,0.726218446,2rdkit,1_RF_cal,single
10.22842243,105.8022351,6.992803167,0.932315437,20.70507926,428.7003073,14.68054237,0.725748769,2rdkit,1_RF_cal,single
10.23599889,105.0873547,6.974541994,0.932772765,20.70657155,428.7621055,14.75672155,0.725709235,2rdkit,1_RF_cal,single
10.18352699,104.396006,6.932108152,0.933215039,20.71108536,428.949057,14.34391946,0.725589637,2rdkit,1_RF_cal,single
10.37606089,108.1744446,7.076995219,0.93079787,20.71483043,429.1041999,14.82455352,0.725490388,2rdkit,1_RF_cal,single
11.00614658,121.5632702,7.343947423,0.922232674,20.71735789,429.2089178,14.76337864,0.725423397,2rdkit,1_RF_cal,single
10.34296559,107.1346668,6.980954885,0.931463044,20.72121117,429.3685924,14.57923606,0.725321249,2rdkit,1_RF_cal,single
10.53954201,111.4668643,7.173559858,0.928691619,20.72405744,429.4865567,14.45655722,0.725245784,2rdkit,1_RF_cal,single
10.28950507,106.3479186,7.011941401,0.931966348,20.7246771,429.5122408,14.85534829,0.725229353,2rdkit,1_RF_cal,single
10.2720468,105.7978087,7.001243867,0.932318268,20.73595602,429.9798719,14.41435239,0.724930197,2rdkit,1_RF_cal,single
10.23227678,105.2283748,6.97305749,0.93268255,20.7816728,431.8779246,14.63589354,0.723715961,2rdkit,1_RF_cal,single
10.30363687,106.7794632,7.016026826,0.931690277,20.79021893,432.2332033,14.82465435,0.72348868,2rdkit,1_RF_cal,single
10.36814202,107.8561402,7.032228346,0.931001498,20.79029929,432.2365448,14.53799119,0.723486542,2rdkit,1_RF_cal,single
10.48285455,110.0244684,7.122698086,0.929614359,20.79852038,432.5784499,15.10024987,0.723267816,2rdkit,1_RF_cal,single
10.44631464,109.6690732,7.075751764,0.929841715,20.80103631,432.6831116,14.65867546,0.723200861,2rdkit,1_RF_cal,single
10.29135745,106.4570814,7.003296128,0.931896513,20.80364513,432.7916506,14.91969245,0.723131426,2rdkit,1_RF_cal,single
10.22221548,105.012339,6.939195731,0.932820754,20.81220446,433.1478547,14.62709562,0.722903553,2rdkit,1_RF_cal,single
10.26508682,105.717814,6.986501439,0.932369443,20.81235946,433.1543062,14.73350759,0.722899425,2rdkit,1_RF_cal,single
10.31198983,106.6537952,6.991675959,0.93177067,20.81548072,433.2842376,14.82081505,0.722816305,2rdkit,1_RF_cal,single
10.24037902,105.3965912,6.98482847,0.932574938,20.81658448,433.3301893,14.76623549,0.722786908,2rdkit,1_RF_cal,single
10.24041845,105.2834659,6.969371096,0.932647307,20.81746436,433.3668224,14.71746836,0.722763473,2rdkit,1_RF_cal,single
10.30398285,106.5282023,6.969932477,0.931851016,20.8256214,433.7065067,14.54285041,0.722546168,2rdkit,1_RF_cal,single
10.22421039,105.0989953,6.968068373,0.932765318,20.82737106,433.7793854,14.49577779,0.722499545,2rdkit,1_RF_cal,single
10.20118063,104.8384496,6.938864455,0.932931996,20.83233883,433.9863413,14.70884086,0.72236715,2rdkit,1_RF_cal,single
10.2197833,105.5097705,6.950567334,0.932502534,20.85273569,434.8365858,14.42413742,0.721823225,2rdkit,1_RF_cal,single
10.22805855,105.0322147,6.955477094,0.932808039,20.85810639,435.0606024,14.6251296,0.721679916,2rdkit,1_RF_cal,single
10.26390267,105.7505206,6.988166722,0.93234852,20.87959783,435.9576057,14.86684781,0.721106078,2rdkit,1_RF_cal,single
10.21968489,104.7947807,6.933380854,0.932959932,20.88236173,436.0730316,14.7248024,0.721032237,2rdkit,1_RF_cal,single
10.25324314,105.7736538,6.997383916,0.932333721,20.88511782,436.1881465,14.70195465,0.720958595,2rdkit,1_RF_cal,single
10.29159263,106.3132785,7.000110764,0.931988508,20.90299817,436.9353323,14.99790498,0.7204806,2rdkit,1_RF_cal,single
10.30093379,107.0691348,7.015415493,0.931504966,20.91781891,437.555148,14.74120352,0.720084087,2rdkit,1_RF_cal,single
10.24140906,105.1562372,6.960644919,0.932728699,20.92376516,437.8039486,14.8164718,0.719924923,2rdkit,1_RF_cal,single
10.22140634,104.9335779,6.953163852,0.93287114,20.92711666,437.9442115,14.59740548,0.719835193,2rdkit,1_RF_cal,single
10.26982184,105.846371,6.960412003,0.932287202,20.93481806,438.2666072,14.57658539,0.719628948,2rdkit,1_RF_cal,single
10.47560849,109.9680177,7.125059568,0.929650472,20.93806561,438.4025915,15.02682002,0.719541955,2rdkit,1_RF_cal,single
10.34438484,107.3941958,7.068527292,0.931297016,20.95490509,439.1080473,14.74435627,0.719090655,2rdkit,1_RF_cal,single
10.31337324,106.8242953,7.007916643,0.931661597,20.97784057,440.0697948,14.58582816,0.718475399,2rdkit,1_RF_cal,single
10.185239,104.9047233,6.929983907,0.932889599,20.98316859,440.2933639,14.76307913,0.718332376,2rdkit,1_RF_cal,single
10.80853575,117.1459677,7.324222048,0.925058543,20.98394777,440.326064,14.84954127,0.718311457,2rdkit,1_RF_cal,single
10.57268494,112.4656151,7.147678996,0.928052691,20.9854106,440.3874582,14.76751132,0.718272181,2rdkit,1_RF_cal,single
10.2678174,106.4346163,6.982106704,0.931910885,20.98899934,440.5380934,14.90655936,0.718175816,2rdkit,1_RF_cal,single
10.64721182,113.9579716,7.39788219,0.92709799,20.99013309,440.5856873,15.11761546,0.718145369,2rdkit,1_RF_cal,single
10.2754092,106.3617982,6.98376479,0.931957469,20.99979512,440.9913951,14.63359111,0.717885827,2rdkit,1_RF_cal,single
10.376505,108.1699351,7.03748024,0.930800755,21.00844606,441.3548059,14.89683525,0.717653343,2rdkit,1_RF_cal,single
10.26208807,105.8682163,6.983559855,0.932273227,21.0105089,441.4414843,14.91290662,0.717597892,2rdkit,1_RF_cal,single
10.29807031,106.8704739,7.005856002,0.931632055,21.02630339,442.1054341,14.90238545,0.717173146,2rdkit,1_RF_cal,single
10.23526692,105.7152247,6.967156849,0.932371099,21.0302987,442.2734635,14.82883535,0.717065653,2rdkit,1_RF_cal,single
10.35926449,107.8053466,7.019514175,0.931033992,21.03336367,442.4023873,15.00764248,0.716983177,2rdkit,1_RF_cal,single
10.40820522,108.9834306,7.044471077,0.930280339,21.03628005,442.5250785,14.65484526,0.716904688,2rdkit,1_RF_cal,single
11.77671957,139.3348287,7.804015882,0.910863726,21.0367416,442.5444972,15.08775429,0.716892265,2rdkit,1_RF_cal,single
10.37267192,107.8721915,7.022167381,0.930991229,21.04613162,442.9396561,14.7747676,0.716639471,2rdkit,1_RF_cal,single
10.27558846,106.2235136,6.967999909,0.932045933,21.0493202,443.0738808,14.996486,0.716553604,2rdkit,1_RF_cal,single
10.334726,107.1710459,7.027982609,0.931439771,21.04937443,443.0761641,14.96839064,0.716552143,2rdkit,1_RF_cal,single
10.37510456,108.3973379,7.031682249,0.930655279,21.04991301,443.0988379,14.89133646,0.716537638,2rdkit,1_RF_cal,single
10.44328067,109.7769524,7.059823007,0.929772702,21.05685627,443.3911961,14.81115003,0.716350609,2rdkit,1_RF_cal,single
10.6439102,113.7319327,7.190437902,0.927242594,21.06710223,443.8227963,15.03597259,0.716074502,2rdkit,1_RF_cal,single
10.43272233,109.281508,7.106777126,0.930089651,21.0691851,443.9105607,15.00118239,0.716018357,2rdkit,1_RF_cal,single
10.29892483,106.6328547,6.953788336,0.931784067,21.07386998,444.1079959,14.78805273,0.715892052,2rdkit,1_RF_cal,single
10.2991989,106.9844854,7.037724095,0.931559119,21.07649073,444.2184615,14.88775942,0.715821385,2rdkit,1_RF_cal,single
10.32793429,107.2930499,7.056734942,0.931361722,21.09897425,445.1667144,14.94196752,0.715214762,2rdkit,1_RF_cal,single
10.44705023,109.7025374,7.038311098,0.929820307,21.1060089,445.4636117,15.04623494,0.715024828,2rdkit,1_RF_cal,single
10.31298384,106.9786389,7.009265581,0.931562859,21.10794248,445.5452357,14.85415304,0.714972611,2rdkit,1_RF_cal,single
10.80918538,117.3441657,7.283285286,0.92493175,21.10918544,445.5977097,14.94758855,0.714939042,2rdkit,1_RF_cal,single
10.33322359,107.1546406,6.962103412,0.931450266,21.12202977,446.1401415,14.87609267,0.714592034,2rdkit,1_RF_cal,single
10.68434673,114.6603304,7.205648819,0.926648672,21.12321363,446.1901542,14.9068474,0.714560039,2rdkit,1_RF_cal,single
10.27941064,106.3646602,6.979062209,0.931955638,21.12744676,446.3690066,14.88568429,0.714445623,2rdkit,1_RF_cal,single
10.36716152,108.3894648,7.099604574,0.930660315,21.14249482,447.0050871,14.90717812,0.714038705,2rdkit,1_RF_cal,single
10.51056175,110.8100983,7.255901855,0.92911177,21.15084506,447.3582469,15.03849313,0.713812779,2rdkit,1_RF_cal,single
10.30544893,106.6617444,6.993842255,0.931765585,21.15200338,447.4072468,14.80637084,0.713781432,2rdkit,1_RF_cal,single
10.39130013,108.5040532,7.072191369,0.93058701,21.15542039,447.5518118,15.10093006,0.71368895,2rdkit,1_RF_cal,single
10.51428044,110.6283513,7.078787335,0.929228039,21.17232546,448.2673655,15.05400298,0.713231191,2rdkit,1_RF_cal,single
10.37576496,107.9181638,7.055882482,0.930961819,21.17661951,448.4492138,14.91807486,0.713114858,2rdkit,1_RF_cal,single
10.3405208,107.1200801,6.991824696,0.931472375,21.17979563,448.5837428,15.15036195,0.713028796,2rdkit,1_RF_cal,single
10.32253857,106.8031328,6.992710896,0.931675135,21.18548634,448.8248315,14.79744691,0.712874565,2rdkit,1_RF_cal,single
10.27707393,105.8286259,6.922114841,0.932298554,21.19614308,449.2764815,14.89454116,0.712585632,2rdkit,1_RF_cal,single
10.69826326,115.0297397,7.222453649,0.926412351,21.19702053,449.3136793,15.1131533,0.712561835,2rdkit,1_RF_cal,single
10.29454507,106.8336174,6.995021657,0.931655633,21.19750208,449.3340944,15.07936053,0.712548775,2rdkit,1_RF_cal,single
11.06571366,122.8490679,7.410467769,0.921410115,22.15823963,490.9875836,15.5254015,0.685901907,3mol2vec,1_RF_cal,single
11.0789926,123.042648,7.484407918,0.921286276,22.20091295,492.880536,15.81980869,0.684690934,3mol2vec,1_RF_cal,single
11.11236626,123.9767166,7.452593898,0.920688727,22.22435288,493.9218609,15.40801587,0.68402477,3mol2vec,1_RF_cal,single
11.1778626,125.9497476,7.639912204,0.919426525,22.23074929,494.2062142,15.44164261,0.683842862,3mol2vec,1_RF_cal,single
11.2303184,126.7959919,7.517833773,0.91888516,22.25653745,495.3534591,15.58234279,0.683108938,3mol2vec,1_RF_cal,single
11.04086481,122.6882535,7.43393189,0.921512992,22.26335454,495.6569552,15.56206084,0.682914783,3mol2vec,1_RF_cal,single
11.21099697,126.0352021,7.585324716,0.919371858,22.27764149,496.2933105,15.77375066,0.682507689,3mol2vec,1_RF_cal,single
11.12074872,123.8373257,7.444266814,0.920777899,22.30800288,497.6469927,15.57167257,0.681641702,3mol2vec,1_RF_cal,single
11.57072273,134.0996535,7.684194494,0.914212809,22.37793683,500.7720568,15.76982272,0.679642514,3mol2vec,1_RF_cal,single
11.04385696,122.4709406,7.412616572,0.921652013,22.41705328,502.5242778,15.71097733,0.67852157,3mol2vec,1_RF_cal,single
11.14881974,124.7885515,7.479426734,0.920169374,22.42928429,503.0727937,15.62900133,0.67817067,3mol2vec,1_RF_cal,single
11.60101193,134.9694079,7.819808078,0.913656404,22.45639518,504.2896843,15.89939407,0.677392192,3mol2vec,1_RF_cal,single
11.55049614,134.1271257,7.77051502,0.914195235,22.45827843,504.3742701,15.56181158,0.67733808,3mol2vec,1_RF_cal,single
11.20642593,126.2559709,7.504532836,0.919230626,22.46017129,504.4592943,15.59976897,0.677283688,3mol2vec,1_RF_cal,single
10.97309803,122.3393784,7.408874899,0.921736177,22.46209402,504.5456676,15.71912082,0.677228432,3mol2vec,1_RF_cal,single
11.11199224,123.8239837,7.406428524,0.920786434,22.47034264,504.9162982,15.65632771,0.67699133,3mol2vec,1_RF_cal,single
11.09354357,123.3532868,7.445017708,0.921087552,22.48346419,505.506162,15.97003764,0.676613978,3mol2vec,1_RF_cal,single
11.10708566,123.6981647,7.454989252,0.920866924,22.50796205,506.6083555,15.71033856,0.675908875,3mol2vec,1_RF_cal,single
11.13226473,124.1128789,7.52189021,0.92060162,22.5136252,506.8633196,15.78436427,0.675745767,3mol2vec,1_RF_cal,single
11.09334588,123.6548766,7.425490397,0.920894617,22.51531026,506.9391959,15.42067825,0.675697227,3mol2vec,1_RF_cal,single
11.59604985,135.1520023,7.848268258,0.913539593,22.5184202,507.0792484,15.77242132,0.675607632,3mol2vec,1_RF_cal,single
11.00827522,122.0714646,7.397149011,0.921907568,22.52519884,507.3845829,15.63028503,0.675412301,3mol2vec,1_RF_cal,single
11.34873147,129.2900852,7.522980218,0.917289621,22.52831515,507.5249835,15.81565276,0.675322483,3mol2vec,1_RF_cal,single
11.14212326,124.5922331,7.434770093,0.920294964,22.52978517,507.5912197,15.76537529,0.67528011,3mol2vec,1_RF_cal,single
11.0562891,122.9650833,7.43282211,0.921335896,22.53927948,508.0191193,15.87018911,0.675006371,3mol2vec,1_RF_cal,single
11.04404869,122.4634221,7.420038846,0.921656823,22.54335795,508.2029877,15.91855776,0.674888745,3mol2vec,1_RF_cal,single
11.1008962,123.5217854,7.426169366,0.920979759,22.54457176,508.2577159,15.63427616,0.674853734,3mol2vec,1_RF_cal,single
11.09774668,123.4780399,7.470110101,0.921007744,22.55193943,508.5899721,15.92182002,0.674641181,3mol2vec,1_RF_cal,single
11.14824622,124.7471257,7.543442905,0.920195875,22.55340469,508.656063,15.841226,0.674598901,3mol2vec,1_RF_cal,single
11.07954433,123.3180537,7.437021765,0.921110092,22.61128586,511.2702484,15.92680664,0.672926535,3mol2vec,1_RF_cal,single
11.15567826,124.8409495,7.441441539,0.920135854,22.61489015,511.4332564,15.73069085,0.672822255,3mol2vec,1_RF_cal,single
11.07381501,123.3666612,7.41935087,0.921078996,22.63813662,512.4852296,15.63698838,0.672149279,3mol2vec,1_RF_cal,single
11.07486709,123.0457848,7.409984241,0.921284269,22.65227585,513.1256011,15.68656204,0.671739616,3mol2vec,1_RF_cal,single
11.04860027,123.1349606,7.3979784,0.921227221,22.65531191,513.2631578,15.68233331,0.671651617,3mol2vec,1_RF_cal,single
11.3386673,129.0862295,7.574934337,0.917420033,22.66966445,513.9136865,15.83269099,0.671235456,3mol2vec,1_RF_cal,single
11.09226689,123.3859776,7.422407542,0.921066639,22.67305429,514.0673907,15.6329259,0.671137127,3mol2vec,1_RF_cal,single
11.09242601,123.4243646,7.429147526,0.921042082,22.6734614,514.0858519,15.79155702,0.671125317,3mol2vec,1_RF_cal,single
11.1964803,125.7824276,7.460525551,0.919533565,22.70314624,515.4328492,15.77367252,0.670263607,3mol2vec,1_RF_cal,single
11.15679496,125.1430531,7.470566442,0.91994259,22.71467567,515.9564909,15.82183201,0.669928619,3mol2vec,1_RF_cal,single
11.17162867,125.4368669,7.49260561,0.919754629,22.71669863,516.0483966,15.75731427,0.669869824,3mol2vec,1_RF_cal,single
11.15529237,124.6009185,7.46156925,0.920289408,22.71756487,516.0877537,15.79431038,0.669844646,3mol2vec,1_RF_cal,single
11.09747043,123.5121074,7.430759447,0.92098595,22.73374433,516.8231312,15.92319023,0.669374205,3mol2vec,1_RF_cal,single
11.13464035,124.4462899,7.460437635,0.920388328,22.75151644,517.6315005,15.85168499,0.66885707,3mol2vec,1_RF_cal,single
11.16220934,124.7883187,7.44944547,0.920169523,22.7518653,517.6473746,15.82455014,0.668846914,3mol2vec,1_RF_cal,single
