RMSE,MSE,MAE,R2,tRMSE,tMSE,tMAE,tR2,TopFolder,SubFolder,type
6.475606923,42.23886436,2.681193542,0.972978651,18.41396885,339.0742488,12.52557311,0.783084993,2rdkit,2_XG_cal,single
6.429087223,42.41547888,2.69178011,0.972865666,18.43344472,339.7918842,12.27816163,0.782625902,2rdkit,2_XG_cal,single
6.497437902,42.96523394,2.874220551,0.972513973,18.53610449,343.5871698,12.50270121,0.780197955,2rdkit,2_XG_cal,single
6.555923679,43.49727981,2.92303826,0.972173609,18.60399866,346.108766,12.52877676,0.778584822,2rdkit,2_XG_cal,single
6.475560326,43.16215128,2.760388451,0.972387999,18.60987109,346.327302,12.84861942,0.778445018,2rdkit,2_XG_cal,single
6.480505336,43.06948932,2.77865815,0.972447278,18.64548035,347.6539375,13.10496882,0.777596333,2rdkit,2_XG_cal,single
6.567326645,43.67289369,2.853583428,0.972061264,18.69479115,349.4952161,12.79980514,0.776418417,2rdkit,2_XG_cal,single
6.46139062,43.42348968,2.735622979,0.972220814,18.72206743,350.5158089,12.85948877,0.775765517,2rdkit,2_XG_cal,single
6.634849982,44.4069151,2.929869078,0.97159169,18.7513312,351.6124216,12.69305009,0.775063984,2rdkit,2_XG_cal,single
6.542088962,43.64349036,2.830695323,0.972080074,18.7628608,352.0449453,13.10130335,0.774787286,2rdkit,2_XG_cal,single
6.542661568,44.43053399,2.876978993,0.971576581,18.88884342,356.7884057,12.9082448,0.771752766,2rdkit,2_XG_cal,single
6.583419583,44.5765095,3.053361452,0.971483196,18.91528824,357.7881291,13.28337613,0.771113216,2rdkit,2_XG_cal,single
6.711305064,45.45416002,3.015623903,0.970921739,19.00174189,361.066195,13.05811453,0.769016148,2rdkit,2_XG_cal,single
6.604166418,44.75691983,2.816956359,0.971367783,19.00844481,361.320974,12.77596182,0.768853159,2rdkit,2_XG_cal,single
6.802223605,47.07878505,3.592798359,0.969882422,19.038471,362.4633782,13.25745936,0.768122332,2rdkit,2_XG_cal,single
6.545629972,44.6532763,2.754718046,0.971434086,19.05099165,362.9402829,12.94464136,0.767817243,2rdkit,2_XG_cal,single
6.925510936,48.37088278,3.750073572,0.969055832,19.07268215,363.7672044,13.36663269,0.767288239,2rdkit,2_XG_cal,single
6.594421546,44.83063437,2.766169554,0.971320626,19.07299501,363.7791386,12.86828561,0.767280604,2rdkit,2_XG_cal,single
6.654745692,45.21481556,3.005293735,0.971074854,19.07745316,363.9492192,12.96586852,0.767171799,2rdkit,2_XG_cal,single
6.611179309,45.2237249,2.834857999,0.971069155,19.10481772,364.9940602,12.65331891,0.766503386,2rdkit,2_XG_cal,single
6.54078009,45.06155093,2.823813324,0.971172902,19.13245426,366.0508059,12.98983944,0.765827357,2rdkit,2_XG_cal,single
6.608288435,45.06589732,2.814717899,0.971170121,19.13273597,366.0615855,13.22994302,0.765820461,2rdkit,2_XG_cal,single
6.690669062,45.1584055,2.817931936,0.971110941,19.15127082,366.7711741,13.09983176,0.765366518,2rdkit,2_XG_cal,single
6.681711275,45.11834126,2.759157653,0.971136572,19.15147174,366.7788698,13.08369655,0.765361595,2rdkit,2_XG_cal,single
7.193368598,52.386972,3.780995424,0.966486631,19.15562948,366.9381406,13.14109895,0.765259705,2rdkit,2_XG_cal,single
6.677265154,45.16054256,2.76404708,0.971109574,19.16843249,367.4288041,13.09348489,0.764945814,2rdkit,2_XG_cal,single
6.62667518,45.15709554,2.717090909,0.971111779,19.17799231,367.795389,12.97025562,0.7647113,2rdkit,2_XG_cal,single
6.684047549,45.70228012,2.91005457,0.97076301,19.17836139,367.8095456,12.87653968,0.764702243,2rdkit,2_XG_cal,single
6.623275145,45.41078735,2.797433176,0.970949486,19.18453649,368.0464404,12.72087119,0.764550695,2rdkit,2_XG_cal,single
6.726520103,46.23108446,3.057976204,0.97042472,19.21315206,369.1452121,13.09969768,0.763847781,2rdkit,2_XG_cal,single
7.19453386,52.21278905,3.767432195,0.966598061,19.21597206,369.2535822,13.40411893,0.763778454,2rdkit,2_XG_cal,single
