,SAMindex,TC_mean,Peak2_frequency,E_pair_var,TotEng_var,c_interface_up_mean,c_interface_dw_mean,SAM_up_length_gm,SAM_dw_length_gm,qed,MaxAbsPartialCharge,PEOE_VSA1,TPSA,MolLogP,MolMR
0,SAM001,62.717,88.96761319,67694.66943,249452.5385,-69.89782502,-55.98032712,19.00321001,19.09539269,0.765519964,0.355518912,5.316788604,12.03,4.04704,65.6407
1,SAM002,42.50925,43.52887694,47293.45367,163675.389,-87.90539347,-75.87552401,21.26620139,21.70985472,0.472025009,0.088220564,0.0,0.0,4.0092,55.122
2,SAM003,48.74075,37.32183416,85347.73339,288136.6618,-74.24872361,-66.01658367,15.69942304,15.90837196,0.50003843,0.14379833,0.0,0.0,4.116,57.208
3,SAM004,64.153,43.36972199,61163.39262,252281.8262,-74.65112089,-65.89672467,17.2804371,17.37214476,0.633466743,0.140338316,0.0,0.0,4.03194,59.229
4,SAM005,54.1965,91.91197964,82590.63693,319060.2398,-66.57371437,-60.51780523,15.93215207,16.21609171,0.494058196,0.143799325,0.0,0.0,4.0545,59.331
5,SAM006,53.86575,43.52887694,75210.32159,251395.8405,-97.04842857,-88.39553792,21.34617999,23.87154593,0.472025009,0.088220564,0.0,0.0,4.0092,55.122
6,SAM007,40.8,43.68803188,63787.53023,231079.059,-81.05959699,-69.57660011,17.26212085,22.79634567,0.576374091,0.065076316,0.0,0.0,4.0891,55.146
7,SAM008,45.40425,43.44929946,61382.0353,232949.8322,-85.50859561,-78.56954447,18.34177971,18.38274847,0.616477629,0.06248808,0.0,0.0,4.28872,61.552
8,SAM009,70.59275,43.60845441,37609.00626,170848.6594,-126.2375932,-117.0590724,21.35456423,22.25331304,0.610352107,0.247727804,0.0,0.0,4.2481,50.977
9,SAM010,88.6725,37.79929898,66634.3521,257955.1588,-136.382036,-123.0746443,15.04798334,15.21566021,0.63804814,0.263947188,0.0,0.0,4.08582,53.642
10,SAM011,43.18725,43.21056705,74376.67354,217908.441,-64.6232782,-55.51927217,19.43516442,19.56050743,0.607376494,0.065382195,0.0,0.0,4.03614,59.145
11,SAM012,48.797,88.72888077,68633.52743,242392.0939,-76.78943099,-67.52069535,18.37995542,18.58046523,0.670717896,0.062225395,0.0,0.0,4.231,63.853
12,SAM013,38.93,43.60845441,51213.93769,190662.5142,-93.05148868,-84.61334803,22.29128729,23.21898881,0.533637049,0.053021486,0.0,0.0,4.393,60.13
13,SAM014,57.11225,43.36972199,65007.22625,211892.4676,-76.47238056,-68.38905725,15.2531285,15.32750219,0.50003843,0.142304245,0.0,0.0,4.116,57.208
14,SAM015,66.505,43.60845441,71322.35407,270291.027,-74.39209273,-63.68592202,20.0625941,20.0053927,0.584899386,0.12638533,0.0,0.0,4.4456,64.921
15,SAM016,200.10075,37.4809891,33718.90277,159871.2867,-238.9431192,-215.2576897,13.26799786,13.27291705,0.360924209,0.361392606,11.05045608,72.19,-1.2261,32.4011
16,SAM017,141.76525,37.4809891,43235.8946,174733.4991,-177.9713353,-146.4060449,16.88088257,16.81628967,0.284908548,0.393579139,30.53743537,110.02,-3.1517,44.0179
17,SAM018,160.934,37.4809891,44441.20132,195287.9121,-136.0566811,-122.9503201,11.79782126,12.09277355,0.438303577,0.390250858,15.00759197,57.53,-1.073,23.7516
18,SAM019,142.40925,44.08591924,36989.58348,174155.7136,-156.5352577,-138.3683073,14.91658101,15.13285965,0.28896756,0.395052232,5.106527395,80.5,-0.89773,33.0839
19,SAM020,173.88075,43.52887694,36674.19844,195637.5269,-299.5778606,-290.6848604,12.82307506,12.97860066,0.273629484,0.322207921,10.11132579,75.27,-1.2166,31.1434
20,SAM021,205.80975,43.60845441,38236.64256,164279.1215,-219.5525985,-187.3327556,12.498486,12.64861996,0.159551022,0.283995986,0.0,86.29,-1.01633,25.3185
21,SAM022,146.33975,37.32183416,49441.71489,218365.9835,-138.7737104,-122.0794174,13.59451353,13.7082286,0.401436213,0.390603235,20.11411937,77.76,-1.7121,29.7584
22,SAM023,152.556,37.4809891,43561.34547,195690.9721,-131.2419298,-118.8267976,12.0114459,12.06809431,0.438303577,0.390250858,15.00759197,57.53,-1.073,23.7516
23,SAM024,92.0455,43.44929946,40081.44051,92526.59634,-485.463908,-496.4796102,19.20374972,19.53536298,0.510867503,0.364133957,5.733667477,95.44,-1.6657,49.3791
