,SAMindex,TC_mean,E_pair_var,c_interface_up_mean,c_interface_dw_mean,qed,MaxAbsPartialCharge,PEOE_VSA1,TPSA,MolLogP,MolMR
0,SAM001,62.717,67694.66943,-69.89782502,-55.98032712,0.765519964,0.355518912,5.316788604,12.03,4.04704,65.6407
1,SAM002,42.50925,47293.45367,-87.90539347,-75.87552401,0.472025009,0.088220564,0.0,0.0,4.0092,55.122
2,SAM003,48.74075,85347.73339,-74.24872361,-66.01658367,0.50003843,0.14379833,0.0,0.0,4.116,57.208
3,SAM004,64.153,61163.39262,-74.65112089,-65.89672467,0.633466743,0.140338316,0.0,0.0,4.03194,59.229
4,SAM005,54.1965,82590.63693,-66.57371437,-60.51780523,0.494058196,0.143799325,0.0,0.0,4.0545,59.331
5,SAM006,53.86575,75210.32159,-97.04842857,-88.39553792,0.472025009,0.088220564,0.0,0.0,4.0092,55.122
6,SAM007,40.8,63787.53023,-81.05959699,-69.57660011,0.576374091,0.065076316,0.0,0.0,4.0891,55.146
7,SAM008,45.40425,61382.0353,-85.50859561,-78.56954447,0.616477629,0.06248808,0.0,0.0,4.28872,61.552
8,SAM009,70.59275,37609.00626,-126.2375932,-117.0590724,0.610352107,0.247727804,0.0,0.0,4.2481,50.977
9,SAM010,88.6725,66634.3521,-136.382036,-123.0746443,0.63804814,0.263947188,0.0,0.0,4.08582,53.642
10,SAM011,43.18725,74376.67354,-64.6232782,-55.51927217,0.607376494,0.065382195,0.0,0.0,4.03614,59.145
11,SAM012,48.797,68633.52743,-76.78943099,-67.52069535,0.670717896,0.062225395,0.0,0.0,4.231,63.853
12,SAM013,38.93,51213.93769,-93.05148868,-84.61334803,0.533637049,0.053021486,0.0,0.0,4.393,60.13
13,SAM014,57.11225,65007.22625,-76.47238056,-68.38905725,0.50003843,0.142304245,0.0,0.0,4.116,57.208
14,SAM015,66.505,71322.35407,-74.39209273,-63.68592202,0.584899386,0.12638533,0.0,0.0,4.4456,64.921
15,SAM016,200.10075,33718.90277,-238.9431192,-215.2576897,0.360924209,0.361392606,11.05045608,72.19,-1.2261,32.4011
16,SAM017,141.76525,43235.8946,-177.9713353,-146.4060449,0.284908548,0.393579139,30.53743537,110.02,-3.1517,44.0179
17,SAM018,160.934,44441.20132,-136.0566811,-122.9503201,0.438303577,0.390250858,15.00759197,57.53,-1.073,23.7516
18,SAM019,142.40925,36989.58348,-156.5352577,-138.3683073,0.28896756,0.395052232,5.106527395,80.5,-0.89773,33.0839
19,SAM020,173.88075,36674.19844,-299.5778606,-290.6848604,0.273629484,0.322207921,10.11132579,75.27,-1.2166,31.1434
20,SAM021,205.80975,38236.64256,-219.5525985,-187.3327556,0.159551022,0.283995986,0.0,86.29,-1.01633,25.3185
21,SAM022,146.33975,49441.71489,-138.7737104,-122.0794174,0.401436213,0.390603235,20.11411937,77.76,-1.7121,29.7584
22,SAM023,152.556,43561.34547,-131.2419298,-118.8267976,0.438303577,0.390250858,15.00759197,57.53,-1.073,23.7516
23,SAM024,92.0455,40081.44051,-485.463908,-496.4796102,0.510867503,0.364133957,5.733667477,95.44,-1.6657,49.3791
24,SAM025,102.28675,52257.42521,-170.8728615,-167.9138126,0.25526316,0.387497436,30.26949993,113.68,-3.4265,38.717
25,SAM026,105.50575,28945.05743,-187.5499904,-153.8251509,0.25526316,0.387497436,30.26949993,113.68,-3.4265,38.717
26,SAM027,136.4385,39798.2706,-187.0581757,-158.2756812,0.389317323,0.393200655,19.37479049,72.83,-1.2658,34.8838
27,SAM028,148.081,45934.75645,-167.9717248,-160.557373,0.284908548,0.393579139,30.53743537,110.02,-3.1517,44.0179
28,SAM029,189.36725,34043.88159,-269.7046967,-247.3661151,0.241925031,0.366112083,5.733667477,92.42,-1.4667,28.2636
29,SAM030,148.328,52219.7007,-141.4069082,-124.9806235,0.401436213,0.390603235,20.11411937,77.76,-1.7121,29.7584
