,descriptor_name,pearson_correlation,pearson_pvalue,pearson_selection,spearman_correlation,spearman_pvalue,spearman_selection,distance_correlation,distance_selection,mic_correlation,mic_selection,sum_1,sum_2,sum_3,sum_4,sum
0,Peak2_frequency,-0.3062691850790956,6.189823267828806e-08,1,-0.2163456000827414,0.00015911613802635404,0,0.33617451170324114,1,0.19646062664534528,0,1,1,0,0,2
1,E_pair_var,-0.6493958761267351,2.5653209431368374e-37,1,-0.6776088623206925,1.1476164636112036e-41,1,0.6631790845615188,1,0.500102055434619,1,1,1,1,1,4
2,TotEng_var,-0.4475862511949926,3.478740719955084e-16,1,-0.4494858831764797,2.5211270256408856e-16,1,0.43405919862238046,1,0.2932792882277557,0,1,1,1,0,3
3,c_interface_up_mean,-0.5905389341693388,1.3814550080607465e-29,1,-0.8105081167568527,3.3746564067825045e-71,1,0.7405947425731879,1,0.624842159596449,1,1,1,1,1,4
4,c_interface_dw_mean,-0.6424094346759386,2.6053984599931428e-36,1,-0.810888120979122,2.5805360263739276e-71,1,0.740662010401828,1,0.6171395507608178,1,1,1,1,1,4
5,SAM_up_length_gm,-0.2870025806462695,4.2575882148572764e-07,1,-0.287892532139246,3.906810167714825e-07,1,0.2827501872354389,0,0.3349951319692838,1,1,1,1,0,3
6,SAM_dw_length_gm,-0.32375298215861514,9.497218952951653e-09,1,-0.3273578595317726,6.3556853404480555e-09,1,0.30755838474171565,0,0.3321754345746839,1,1,1,1,0,3
7,Water_bending_overlap_factor,0.26244606712606,4.070622981237058e-06,1,0.11589239880443115,0.0448884301997037,0,0.25073788246302275,0,0.2662308091801221,0,1,0,0,0,1
8,Water_stretching_overlap_factor,0.2950909203684744,1.927702143722271e-07,1,0.24385070945232723,1.949234643728817e-05,0,0.2624419243163499,0,0.2681599965458872,0,1,0,0,0,1
9,qed,-0.5405902795414961,3.642282228577442e-24,1,-0.5249467311639607,1.2027537569671238e-22,1,0.504106670063223,1,0.3963837514242591,1,1,1,1,1,4
10,MaxAbsPartialCharge,0.4076447743984135,1.9382966032524074e-13,1,0.2884135366618216,3.7145131175323866e-07,1,0.3567508188949928,1,0.3718837775296366,1,1,1,1,1,4
11,PEOE_VSA1,0.31990445857466,1.4498121674556137e-08,1,0.342637871322452,1.0917604245465258e-09,1,0.3385848150855618,1,0.39735264661876424,1,1,1,1,1,4
12,TPSA,0.49964926737520643,2.3764362147723684e-20,1,0.4535480634980028,1.2579002226335353e-16,1,0.4526990650874272,1,0.384691249735737,1,1,1,1,1,4
13,MolLogP,-0.5471979136362923,7.864814380977339e-25,1,-0.5051231155912104,7.856907926365773e-21,1,0.5275752299611314,1,0.40144366594594943,1,1,1,1,1,4
14,MolMR,-0.42425191580515365,1.54724120247867e-14,1,-0.3635978164372512,8.300178961779954e-11,1,0.361989986222254,1,0.351353948844648,1,1,1,1,1,4
