SAMindex,True_Values,Fold1_Predictions,Fold2_Predictions,Fold3_Predictions,Fold4_Predictions,Fold5_Predictions,Fold6_Predictions,Fold7_Predictions,Fold8_Predictions,Fold9_Predictions,Fold10_Predictions
SAM001,62.717,62.82316111111115,62.85847222222228,63.789449999999995,62.60581111111115,63.07935555555559,62.13040000000004,63.68347777777781,62.8008666666667,63.433772222222274,62.706511111111155
SAM002,42.50925,49.20049444444445,47.305805555555565,45.44391111111112,46.41989444444445,47.489516666666674,46.49824444444445,56.82765555555555,45.35936111111112,45.027577777777786,48.41000555555557
SAM003,48.74075,52.048433333333314,52.16874999999998,51.14813333333332,52.27619444444443,53.35969444444443,51.44718888888886,52.20166666666664,53.415127777777755,62.32178333333332,52.31320555555554
SAM004,64.153,60.37051111111108,55.16756666666668,61.137388888888864,60.706788888888845,60.99706111111108,59.48163888888886,61.899722222222195,59.47563888888887,62.717761111111095,60.25404444444442
SAM005,54.1965,55.57720555555556,54.9657,55.216533333333345,56.498738888888894,58.13250555555555,55.312138888888896,56.589611111111125,56.92678333333334,57.12279444444445,57.578716666666644
SAM006,53.86575,53.21932777777776,54.85706111111109,50.5638,55.46481666666664,63.26403333333331,51.84348333333331,64.32583888888887,54.20083333333332,56.342927777777774,58.86036111111109
SAM007,40.8,42.63848333333332,42.9583722222222,42.309511111111085,42.29824444444443,44.08708333333331,42.28353333333331,45.06209999999999,42.94587777777775,43.18962777777776,48.227683333333346
SAM008,45.40425,46.35483333333336,47.24945000000002,45.42087222222224,45.322072222222246,46.821805555555585,45.30159444444447,51.948338888888905,46.1739277777778,49.80041111111113,49.03001666666669
SAM009,70.59275,75.51586666666664,72.5753444444444,72.18304999999995,74.0647055555555,74.94304999999997,76.05825555555555,74.51977222222217,70.16646666666664,68.77721666666662,72.97247777777773
SAM010,88.6725,94.70415555555559,104.85261111111107,103.74187222222218,95.86040555555559,96.73863333333338,112.63661111111114,96.6848166666667,95.13759444444449,94.87223888888892,96.6677611111111
SAM011,43.18725,46.4715722222222,45.616488888888874,46.66387222222219,47.78726111111109,48.4566111111111,48.524444444444434,48.901311111111106,54.3222777777778,47.10018888888888,48.813211111111116
SAM012,48.797,48.96238888888891,50.109355555555574,48.942327777777784,49.437655555555565,51.650322222222236,49.201294444444464,49.786194444444455,49.995011111111126,48.69365555555558,49.2576277777778
SAM013,38.93,51.675744444444426,43.427755555555564,42.091972222222225,45.71646111111113,44.21792777777778,43.75744444444445,54.00874999999999,43.69797222222223,47.45404444444446,48.330505555555575
SAM014,57.11225,54.788738888888886,56.10731666666667,53.86791111111109,55.35862222222221,56.609100000000005,54.09732777777777,56.73636666666665,55.059572222222215,57.81685555555554,55.558733333333315
SAM015,66.505,63.190294444444476,62.13747777777781,62.48473888888891,61.09669444444446,63.56403888888891,63.35003888888892,60.59981666666671,56.11998333333332,64.17086111111117,62.90042777777782
SAM016,200.10075,177.8063444444445,186.65049999999994,189.14726666666658,189.53269999999992,191.04382777777772,194.9432055555554,191.99732777777766,192.36851666666655,192.84411666666654,194.08449999999988
SAM017,141.76525,143.72505,143.5021944444445,144.34017777777782,141.6942222222223,142.8706111111112,142.84117777777783,141.54007222222228,145.28140000000002,145.12505000000004,139.66958888888888
SAM018,160.934,149.87695000000002,157.32012222222227,152.42334444444452,153.1975611111112,151.50118888888892,148.19453888888887,152.43282777777785,152.92690000000002,154.54797222222226,152.77673333333337
SAM019,142.40925,136.70604444444442,137.80224444444437,136.28623333333329,134.4559555555555,139.38154999999995,132.0900833333333,138.89755,134.2298555555555,127.98028333333333,136.9805111111111
SAM020,173.88075,171.29315555555553,170.24978333333334,180.94785000000007,170.54659444444445,176.77742777777772,168.6671444444445,174.41425000000007,173.13790555555562,178.77508333333336,172.81087777777785
SAM021,205.80975,205.083238888889,192.16603888888895,193.16442777777786,196.0989277777779,198.89161666666672,188.1552222222222,193.4027111111112,194.93216666666675,195.82336666666683,190.88803333333337
SAM022,146.33975,140.53793333333337,141.90370555555563,139.98196111111116,142.56480000000008,141.07444444444448,144.3865833333334,126.48653333333334,141.3045388888889,145.1177666666667,141.46624444444447
SAM023,152.556,137.65601111111104,142.43861111111102,139.89234999999996,128.78256111111116,139.27723333333327,140.4844388888888,138.23977222222217,139.34791666666666,142.92624999999992,136.7556444444444
SAM024,92.0455,111.78167222222227,113.84375555555562,116.07118888888895,111.68684444444449,117.41248888888897,114.16992777777781,111.41185000000004,110.58331111111117,113.24251111111114,137.0584
SAM025,102.28675,115.5095055555556,113.19523333333342,114.12589444444454,118.58240000000009,115.98303888888896,119.57300000000004,127.90712222222224,119.25419444444451,122.62536666666674,119.21906666666675
SAM026,105.50575,123.09455000000003,123.36650000000003,122.85178333333337,124.49023888888892,119.32673333333332,115.85266666666666,124.08073333333333,149.4409888888889,122.01638333333332,117.9763111111111
SAM027,136.4385,138.2638000000001,140.0589722222223,132.54231666666675,136.67138888888894,136.5555944444445,139.1356500000001,140.1049611111112,143.52027222222222,140.42126666666678,137.77899444444458
SAM028,148.081,146.04139444444448,145.08142222222227,149.09843888888892,146.94320555555564,146.0701555555556,148.62231111111117,148.4750944444445,146.9063111111112,147.68338888888897,144.08253333333334
SAM029,189.36725,185.0669222222223,179.6500444444444,184.10669444444454,186.69493333333344,183.6063722222223,179.4932833333334,188.59561666666676,184.65365555555562,190.47308333333336,184.9206944444445
SAM030,148.328,144.16720000000012,143.20150555555563,142.567188888889,144.51857222222233,145.77220000000014,145.89427222222236,132.95831111111113,143.68124444444456,144.65869444444454,142.72149444444455
SAM031,154.28875,150.9257666666666,148.52781111111105,150.60269444444447,142.34893888888894,150.6529555555555,149.4848555555555,151.41096111111108,149.609311111111,150.59359444444436,150.04516666666657
SAM032,185.1475,179.14264444444447,180.6625611111111,179.17769444444446,179.04885000000002,156.30838333333332,177.51162222222226,182.23681666666667,179.32272222222224,178.44183333333334,184.40205555555556
SAM033,77.066,86.78973888888888,81.78044444444438,79.60844444444439,77.34876111111107,80.9166055555555,80.75634444444438,79.46960555555549,79.49958888888882,81.02167777777771,79.19502222222216
SAM034,118.3065,124.08355555555553,121.20355555555551,123.3207222222222,120.64733333333328,124.97498888888889,122.30029999999998,129.7766722222223,122.40783888888888,123.4542611111111,122.52778888888889
SAM035,123.254,95.25905000000003,114.85532777777772,115.24052222222215,116.31455555555551,114.58842777777774,114.17035555555547,110.51744444444441,114.70643888888884,115.89089999999995,114.00060555555552
