SAMindex,True_Values,Fold1_Predictions,Fold2_Predictions,Fold3_Predictions,Fold4_Predictions,Fold5_Predictions,Fold6_Predictions,Fold7_Predictions,Fold8_Predictions,Fold9_Predictions,Fold10_Predictions
SAM001,62.717,62.73537,48.99504,62.523285,62.61366,62.689095,62.71339,62.829967,62.598385,62.496273,62.542015
SAM002,42.50925,42.0597,47.674553,42.323288,42.19558,42.703026,42.293797,42.49987,42.557224,41.96759,42.472336
SAM003,48.74075,49.16043,49.2791,49.37177,48.84201,48.896057,48.915855,49.032803,49.33654,48.787807,64.82058
SAM004,64.153,53.74826,64.31892,64.09785,64.15456,63.906677,63.897865,64.130264,64.12436,64.12986,64.11822
SAM005,54.1965,54.18852,54.09676,54.00141,54.21431,54.232937,54.20392,54.110035,54.11321,50.748154,54.7291
SAM006,53.86575,53.870926,52.374542,53.33896,53.914005,53.753708,53.768677,47.77848,53.606895,53.960857,53.92101
SAM007,40.8,40.83207,40.753174,40.962452,40.99701,40.890102,41.058144,40.754677,40.85384,58.74086,40.842014
SAM008,45.40425,45.4186,64.74216,45.49325,45.453384,45.4998,45.450127,45.52674,45.434704,45.433704,45.466217
SAM009,70.59275,70.658516,70.51238,70.33897,64.19219,70.51533,70.60874,70.487656,70.333855,70.44254,70.62016
SAM010,88.6725,88.73386,88.7809,88.63401,88.68027,88.69916,88.6683,88.65125,88.57981,88.682175,103.822655
SAM011,43.18725,43.227654,43.111717,43.559204,43.3493,43.2637,43.296753,42.937138,43.272896,43.134483,54.355045
SAM012,48.797,48.68674,48.997303,48.7975,48.758286,48.829453,48.805527,48.884373,48.85091,48.86564,48.81083
SAM013,38.93,39.834763,42.82561,39.645477,39.306015,53.961197,39.46065,39.041615,39.59554,39.31051,38.963634
SAM014,57.11225,56.71066,56.77092,56.91217,57.00654,57.049557,56.877197,57.022655,56.659817,55.510212,56.8744
SAM015,66.505,65.31409,65.353645,65.290474,65.64651,66.41605,65.81494,40.426437,65.31493,66.01324,65.4381
SAM016,200.10075,172.89227,199.38551,200.08733,199.6699,200.0153,199.94548,200.13351,200.08734,199.8964,200.01193
SAM017,141.76525,141.70766,141.75949,141.82457,137.47475,141.76906,141.79236,141.6235,141.7716,141.72728,141.7875
SAM018,160.934,161.10657,159.99324,162.50044,161.0854,161.3441,161.47076,161.02208,160.99829,160.54912,150.73238
SAM019,142.40925,142.19542,142.36775,142.36716,142.4019,142.45052,142.36934,142.35767,122.47367,142.42972,142.37898
SAM020,173.88075,173.90385,173.82175,186.24696,173.6587,173.99872,173.77948,173.78822,173.85019,173.86337,173.8524
SAM021,205.80975,186.36916,205.81496,205.91731,205.7727,205.77,205.91577,205.6795,206.04942,205.83876,205.76997
SAM022,146.33975,146.35126,146.38988,146.26744,146.34889,146.2652,137.78517,146.30135,146.07144,146.23601,146.25977
SAM023,152.556,152.50438,153.22676,151.56927,152.66812,152.58841,152.48882,152.6449,137.17331,153.38641,151.58998
SAM024,92.0455,97.87835,96.2905,132.26099,94.89828,95.59634,95.56837,95.9011,95.551125,97.379036,99.7259
SAM025,102.28675,102.240944,102.46239,102.63519,102.63081,122.645615,102.28418,102.33061,102.41752,102.35604,102.23238
SAM026,105.50575,105.321045,105.62747,125.834076,105.28812,105.94187,105.22872,105.41166,105.32584,105.29776,105.29082
SAM027,136.4385,136.13812,136.49475,136.41142,136.47404,135.59264,136.4579,136.38618,136.43777,136.38612,136.41116
SAM028,148.081,148.072,148.16994,148.05626,147.96094,148.21188,148.11136,151.08553,148.06584,148.049,148.07458
SAM029,189.36725,189.57468,193.89522,189.29065,189.33472,189.34831,189.36061,189.35071,189.42853,189.43568,189.44536
SAM030,148.328,148.28148,148.21588,148.299,148.2235,148.33131,148.26897,148.27669,138.29488,148.31787,148.34505
SAM031,154.28875,154.31079,154.28415,154.26231,154.28261,154.29921,154.23584,154.37506,154.31125,154.25958,141.46399
SAM032,185.1475,185.13725,185.19629,185.22047,185.05374,185.37198,185.0834,159.41629,185.23442,185.24185,185.78519
SAM033,77.066,77.14383,77.05188,91.20441,77.122925,77.1117,77.07012,77.01096,77.05449,77.0805,77.13068
SAM034,118.3065,118.35461,118.33261,118.303764,118.416595,118.41775,118.336296,132.36104,118.32732,118.3088,118.4212
SAM035,123.254,123.1968,123.2461,123.2339,123.19742,123.31722,123.18895,118.07137,123.31712,123.23004,123.136986
SAM036,123.7795,123.82434,123.74857,123.83871,123.84068,123.67721,123.86442,123.75804,123.741776,109.97612,123.86155
SAM037,190.9025,191.0132,190.95552,180.54071,190.90164,190.93535,190.9864,190.82303,190.8704,190.98885,190.81111
SAM038,198.18425,198.13193,198.1861,198.11765,198.4041,198.0796,190.02156,197.974,198.1629,198.25885,198.23686
SAM039,128.26475,128.22787,128.21863,128.23335,128.25018,128.8633,128.23238,128.13695,128.25017,128.27812,128.23906
SAM040,155.1605,155.1321,155.17143,155.1458,155.18124,155.06396,155.15799,155.23077,167.51004,155.2094,155.18965
SAM041,148.41975,148.58331,148.53029,148.44452,148.35167,148.30405,148.58142,148.49841,148.4982,155.82684,148.37595
SAM042,154.39325,154.42886,154.37599,145.71884,154.35936,154.37642,154.38449,154.36813,154.3567,154.40218,154.35413
SAM043,144.279,144.4483,166.31912,144.28366,144.3446,144.41425,144.33737,144.29262,144.29814,144.33899,144.38583
SAM044,156.47425,156.54659,156.40694,156.43951,156.44899,156.54018,150.0537,156.41464,156.45244,156.47726,156.4383
SAM045,131.09375,131.07593,131.03207,131.09067,131.05792,131.03516,131.07466,131.12218,139.55563,131.11156,131.09126
SAM046,153.00625,153.03214,153.09662,152.81863,153.05281,155.5681,152.99243,153.00194,152.8541,152.99277,152.82935
SAM047,148.63225,148.66296,148.65201,148.64943,148.53262,148.62985,148.64488,148.51558,149.17735,148.59917,148.62355
SAM048,152.11725,152.27936,152.15044,152.12024,152.18053,152.27763,152.10562,152.15091,156.68349,152.12502,153.2073
SAM049,164.192,164.02942,157.93788,163.84117,163.82779,163.5662,163.81792,163.45953,163.96121,164.07352,164.20872
SAM050,152.6485,152.61502,152.49625,157.6295,152.85614,152.58961,152.6716,152.65721,152.7405,152.63132,152.69513
SAM051,144.48675,144.51706,144.49898,144.52432,144.4994,144.60359,144.5024,144.49542,139.22702,144.47466,144.4445
SAM052,222.5885,222.18138,222.55609,221.36656,202.94232,222.32088,222.46089,222.15323,222.62964,222.11118,222.63611
SAM053,164.7975,164.78227,164.81332,164.74753,164.84038,164.64294,164.72049,157.56822,164.80345,164.74098,164.79857
SAM054,153.09925,137.3257,153.03377,153.0464,152.98842,153.10033,153.03636,153.11824,153.07013,153.06427,153.05626
SAM055,167.82075,167.54385,167.24388,167.71371,167.69836,167.68391,167.78406,167.60738,167.75713,167.72292,138.61282
SAM056,143.0795,143.02457,143.07616,143.05707,143.14581,143.09457,141.91388,143.08215,143.08669,143.11037,143.06308
SAM057,240.311,239.24182,240.31151,240.12541,238.30525,239.86237,239.32697,188.04662,237.65807,240.16219,239.80525
SAM058,77.07575,77.20906,77.09614,82.07285,77.02127,77.091644,77.14008,77.00314,77.03646,77.14352,76.99699
SAM059,162.82475,162.84892,155.26668,162.81473,162.84862,162.61967,162.75014,162.8128,162.84123,162.7886,162.7337
SAM060,163.94175,164.00256,163.94908,163.90828,155.90698,163.93523,163.8802,163.92638,164.00285,163.93542,163.98761
SAM061,138.26825,138.29514,138.29988,138.29504,138.24536,138.14412,138.29825,138.2588,138.33789,138.21362,138.73494
SAM062,142.36,142.25948,141.99673,142.38965,141.51376,142.18042,142.44627,142.17654,142.401,120.27163,142.42122
SAM063,187.5105,187.49628,187.4723,187.38426,187.42114,182.08292,187.581,187.55396,187.8014,187.53265,187.49864
SAM064,158.6075,158.59521,158.65508,158.6772,158.65485,158.52075,158.63274,158.59453,158.46266,158.61073,152.40091
SAM065,141.4815,141.48181,141.60136,141.68044,151.8711,141.65308,141.56975,141.70111,141.59955,141.64973,141.70691
SAM066,136.882,136.8698,136.89685,136.87622,136.92134,136.89232,136.87231,135.8093,136.86308,136.90582,136.88591
SAM067,163.522,163.50473,163.47008,163.55836,163.47533,163.5601,159.0937,163.57753,163.52881,163.54411,163.54063
SAM068,76.511,76.5509,76.50778,76.52584,76.47572,76.45231,76.5495,76.502785,76.462265,77.20329,76.507996
SAM069,155.9785,155.92117,156.06155,155.98518,156.01752,156.01035,147.53018,155.95805,155.95085,156.05109,156.05244
SAM070,122.08875,122.12856,122.152435,122.17665,122.06673,122.14296,122.123474,122.04861,107.07884,122.107796,122.06833
SAM071,74.39125,74.51336,74.41463,74.40334,74.355446,74.42873,74.44269,74.40706,74.384186,74.425,68.95072
SAM072,90.64,90.67801,102.18963,90.786125,90.68225,90.683105,90.63095,90.672676,90.687225,90.71305,90.6312
SAM073,85.97725,85.92219,85.87926,85.85068,85.82242,85.782776,81.02609,85.94681,85.782974,85.66158,85.84606
SAM074,109.71725,109.87406,109.40809,109.66929,110.194534,110.310135,109.8951,110.51584,109.85728,109.808624,107.43363
SAM075,64.89475,64.90659,64.962975,64.87817,64.927124,64.90549,64.90487,64.9188,64.941864,72.21902,64.891884
SAM076,77.432,77.4075,77.3437,77.42297,77.40714,77.39669,77.43533,77.455795,76.55295,77.39102,77.35008
SAM077,94.521,94.546265,94.52015,94.59489,94.48498,94.52451,94.57994,94.446434,94.52159,94.48935,80.008095
SAM078,116.328,116.31298,116.26349,116.28828,116.3584,113.25913,116.41412,116.318954,116.31648,116.3193,116.263954
SAM079,105.82,105.80702,105.796646,105.78595,105.79017,96.26487,105.87275,105.78644,105.89189,105.80181,105.843216
SAM080,106.954,106.98619,106.961685,106.98009,107.04383,106.9607,106.950226,107.060165,114.36418,106.92373,106.97532
SAM081,92.53725,92.51398,92.54491,92.56767,89.6661,92.533936,92.54246,92.56867,92.56696,92.515884,92.53996
SAM082,117.593,117.870995,117.915825,117.59043,139.58385,117.78763,117.65647,117.587006,117.795845,117.39154,117.68173
SAM083,117.0365,116.97343,116.5069,116.93417,126.824265,116.84018,116.88328,116.88223,116.89133,117.11822,116.889336
SAM084,108.67025,108.57543,108.76743,108.603546,109.759476,108.79387,108.61618,108.50485,108.64795,108.700806,108.621666
SAM085,106.39825,106.472916,106.533844,108.01454,106.351006,106.574165,106.40469,106.39123,106.538536,106.45817,106.51194
SAM086,108.0285,112.885895,108.00035,108.06106,107.949265,108.112816,107.99496,108.36323,107.911476,107.99945,107.942566
SAM087,108.98075,109.05651,108.781586,105.1835,108.97782,108.97602,108.96095,109.211784,108.94982,108.922714,108.96204
SAM088,86.03725,84.28863,85.97441,86.05275,86.04496,86.05087,86.0832,86.02948,86.04154,86.0807,86.24358
SAM089,88.64425,88.65111,88.710075,88.66666,88.63644,88.67926,93.15708,88.62495,88.69378,88.53426,88.5661
SAM090,91.21325,91.10802,91.22916,91.2848,91.26773,91.16698,91.28624,91.232086,91.19167,91.2384,104.94297
SAM091,111.3995,111.382545,111.455635,111.32422,122.17082,111.40275,111.34272,111.395256,111.40997,111.44164,111.38902
