SAMindex,True_Values,Fold1_Predictions,Fold2_Predictions,Fold3_Predictions,Fold4_Predictions,Fold5_Predictions,Fold6_Predictions,Fold7_Predictions,Fold8_Predictions,Fold9_Predictions,Fold10_Predictions
SAM001,62.717,59.497196,60.357265,61.115334,58.90209,60.881386,60.923847,52.799618,61.267014,59.75298,59.88385
SAM002,42.50925,42.564884,53.349365,43.7134,42.576637,42.27595,41.798943,42.839283,41.739506,42.2966,41.46131
SAM003,48.74075,51.405304,51.845245,50.73845,51.618847,52.641243,52.344738,51.022953,52.46852,52.066048,61.97532
SAM004,64.153,61.359097,62.84476,61.832962,61.617115,52.62098,62.211742,62.18621,62.945553,61.536037,61.575893
SAM005,54.1965,54.822407,53.59265,53.389053,53.66682,54.66207,55.2409,54.522102,54.102955,55.183807,55.936573
SAM006,53.86575,53.172253,53.681313,52.79442,52.45974,53.64145,54.44462,52.45572,54.18827,53.535854,55.669563
SAM007,40.8,43.57673,43.226963,43.60089,43.846935,42.60048,57.284554,41.46534,43.73932,43.05418,42.78366
SAM008,45.40425,48.09628,53.302853,46.51971,46.570343,47.220047,47.44445,47.257057,45.808838,46.252842,46.87839
SAM009,70.59275,74.89884,70.09885,70.726974,67.31337,70.0851,74.08744,70.21324,70.60825,69.88066,70.27797
SAM010,88.6725,89.948555,91.33797,90.295715,89.20857,89.05406,89.59085,89.795265,100.430084,89.80694,89.651764
SAM011,43.18725,43.521286,44.988384,43.459232,41.530228,50.70727,44.77185,45.84686,42.816795,44.876637,43.76916
SAM012,48.797,54.8938,50.991394,49.202793,49.784267,50.207493,50.472595,49.087112,51.03406,50.412872,50.81663
SAM013,38.93,40.359592,43.3322,40.713375,42.366222,41.588573,58.97023,40.430477,41.300724,41.20952,42.172474
SAM014,57.11225,54.44583,53.25955,52.462242,54.047977,53.22779,54.916195,54.67455,52.804935,52.910618,45.394154
SAM015,66.505,59.268593,57.2571,59.465435,39.80533,58.657288,59.827213,58.786148,58.08504,59.44575,61.608265
SAM016,200.10075,198.26067,196.8212,198.50621,196.38489,196.76532,198.53476,197.32925,198.49202,172.50351,197.85338
SAM017,141.76525,141.18071,139.7565,140.5892,140.57489,142.4549,141.56325,142.31412,141.27466,138.01357,141.58011
SAM018,160.934,160.80634,159.09167,160.94106,148.95923,159.62418,158.45215,161.3736,162.67197,158.81058,161.11015
SAM019,142.40925,142.31464,139.7121,141.3393,140.75856,139.84807,118.30903,141.59103,140.84647,140.16675,142.21321
SAM020,173.88075,175.83289,175.62653,176.97461,175.85127,181.91156,176.97185,175.6335,175.91992,175.0479,176.0029
SAM021,205.80975,178.51903,204.4298,204.35675,204.31422,205.17256,203.67015,204.30807,205.50812,205.50906,205.70068
SAM022,146.33975,146.37845,143.33124,140.86873,144.10344,144.79634,145.84837,144.40436,145.9076,141.84789,144.38055
SAM023,152.556,153.3084,153.49394,152.70947,148.51378,154.0133,154.31468,152.1114,152.55164,150.1915,150.51053
SAM024,92.0455,102.501274,97.2148,98.75861,97.036125,99.0423,96.84053,139.40393,97.60672,95.41312,96.68898
SAM025,102.28675,102.22927,101.86389,103.134384,124.017105,101.96671,102.35951,101.9614,104.96163,102.00571,102.589935
SAM026,105.50575,106.573,109.84286,106.24997,106.62946,108.18977,108.385574,107.32338,129.75404,107.25805,106.42812
SAM027,136.4385,133.62363,135.96779,135.29707,134.98215,135.17845,135.15334,135.39006,135.27077,135.20944,132.17462
SAM028,148.081,147.80402,142.24861,147.59055,148.22786,147.14139,147.05264,148.11542,147.78322,147.41125,148.46867
SAM029,189.36725,189.71844,189.93835,191.30913,190.37207,191.44843,195.78471,190.66354,190.97783,190.85107,191.09111
SAM030,148.328,146.00981,145.15161,145.60037,147.94016,146.8161,146.6147,144.96364,146.08784,136.04399,146.57129
SAM031,154.28875,155.96448,153.83035,152.72229,153.51181,152.93073,137.43861,152.6214,154.32893,153.9351,153.3669
SAM032,185.1475,184.38667,183.14322,163.71768,183.96263,185.28511,184.64293,182.21135,184.97913,184.41699,184.34119
SAM033,77.066,79.017334,87.72352,78.1972,79.62474,78.34051,79.23899,79.91998,78.093475,79.05379,79.05899
SAM034,118.3065,121.26869,119.61375,119.54408,120.18465,143.1915,119.928085,119.880875,120.61597,120.09437,121.02761
SAM035,123.254,124.656906,122.14591,122.50463,123.66768,124.042625,122.01408,121.74879,113.00299,124.51064,123.14811
SAM036,123.7795,120.82973,124.31627,123.08602,121.60758,122.63867,123.17843,110.47316,122.494354,122.16118,123.41177
SAM037,190.9025,189.4331,190.74336,189.81638,191.10524,190.6127,174.04857,191.07294,190.45004,189.24936,190.47519
SAM038,198.18425,197.93408,197.75157,199.19923,197.796,198.69514,198.60808,187.2681,197.6727,196.6751,198.47945
SAM039,128.26475,127.673706,128.54025,128.65909,128.10957,121.89136,126.83901,127.73863,127.38473,129.37677,127.6591
SAM040,155.1605,157.1645,156.99756,157.00531,156.53157,155.60081,163.8481,156.00719,157.06462,155.97025,156.00897
SAM041,148.41975,148.83214,148.22878,145.29675,148.03273,149.18503,150.28227,148.42406,149.57613,148.41591,143.62929
SAM042,154.39325,152.12915,154.01454,152.85626,153.2875,150.74982,153.38931,153.28738,153.57837,151.9346,151.69164
SAM043,144.279,147.77686,157.22842,147.64726,146.83154,146.1854,146.30234,145.6874,146.61664,146.90756,146.84152
SAM044,156.47425,155.32964,155.37247,157.92139,155.90555,155.98871,155.90935,155.90915,156.25984,155.8501,155.9751
SAM045,131.09375,131.68462,128.85164,130.76842,131.08954,132.71646,131.4472,130.54253,130.6693,130.89354,130.69667
SAM046,153.00625,150.85863,154.11429,153.76807,152.42192,153.36522,152.89214,154.3027,152.17064,152.25798,153.06563
SAM047,148.63225,149.88095,148.59993,148.38643,149.88728,149.25983,154.85062,148.68286,148.19804,149.54085,148.58553
SAM048,152.11725,155.0892,154.77797,154.40234,152.42346,153.65591,161.2144,155.03955,153.23296,154.83324,153.54553
SAM049,164.192,160.13814,160.35684,160.62206,144.2615,160.54597,162.42522,159.11653,160.99059,160.76913,162.26256
SAM050,152.6485,152.23125,153.76941,153.27286,152.47156,152.58101,150.4567,152.7641,151.74736,152.95306,152.51688
SAM051,144.48675,146.07018,144.20001,145.14937,144.19771,142.8386,145.92369,145.39923,146.19637,143.89806,149.87624
SAM052,222.5885,200.54678,220.26988,220.74876,220.39343,220.51906,221.82886,220.99783,221.14276,218.9935,221.55402
SAM053,164.7975,164.45438,164.9332,164.67949,164.84685,164.035,142.8248,164.50871,164.79097,165.11229,164.41922
SAM054,153.09925,152.60057,151.17786,152.58052,152.73363,152.27692,150.50914,151.90155,132.58946,151.51445,151.51958
SAM055,167.82075,164.27573,164.44713,165.44556,165.525,165.57753,165.75052,165.67442,165.6482,121.24669,165.07768
SAM056,143.0795,142.93437,142.04448,142.17023,142.25098,141.99243,142.97615,140.00783,143.3948,142.91425,142.28664
SAM057,240.311,236.81302,197.10745,235.75482,237.41388,238.23283,235.41455,239.11409,236.73419,237.43425,238.29367
SAM058,77.07575,75.200935,76.763435,76.90253,76.55312,77.190254,76.94367,77.01581,81.0851,77.629135,77.532845
SAM059,162.82475,161.21487,160.94185,161.82306,159.74245,162.34404,161.95963,156.31537,162.0752,161.65367,162.42688
SAM060,163.94175,162.48003,164.66492,163.10115,163.04489,165.08427,162.9549,163.48138,154.18112,164.44705,163.94754
SAM061,138.26825,130.49608,139.32703,137.55461,138.20049,138.92587,137.93974,137.95134,138.62871,138.51411,139.15927
SAM062,142.36,139.44041,138.86705,142.05316,141.0948,140.549,115.90132,141.66527,141.58632,141.27394,140.13846
SAM063,187.5105,186.3711,186.69328,182.25587,186.78957,186.00864,186.86314,186.16022,186.51744,185.73561,187.96732
SAM064,158.6075,158.26889,159.46379,159.66045,157.41637,157.3931,137.71939,157.4004,157.67467,157.66624,158.97408
SAM065,141.4815,145.51506,145.21356,145.75175,142.4532,143.78708,144.60974,144.90993,145.52591,144.68008,145.11629
SAM066,136.882,140.6757,137.62576,138.1132,137.16724,138.3719,137.69926,136.85062,137.07368,137.87305,138.41533
SAM067,163.522,163.0911,157.11372,163.86574,163.44876,163.37964,162.06754,161.52705,161.153,162.5346,162.11479
SAM068,76.511,76.43011,76.56145,77.08875,75.636826,77.06621,75.46041,76.31796,77.15258,76.92595,76.62488
