SAMindex,TC_mean,ln(-c_interface_mean),c_interface_mean_to1,SAM_length_gm_mean_to1,Water_bending_overlap_factor_to1,Water_stretching_overlap_factor_to1,5P1Z,6P1F,7P2Z,8P1F,9P1F,12P1Z
SAM001,62.717,4.142167212,0.990502831,0.635345732,0.152380999,0.218377897,-9.225239659,4.425201057,-4.018799679,3.738029531,3.412882986,-3.97257814
SAM002,42.50925,4.405382485,0.974799397,0.817771904,0.107614174,0.04312299,-8.057907222,3.567566798,-3.820861305,3.535511767,3.27807731,-3.849451219
SAM003,48.74075,4.250388501,0.984542112,0.392576995,0.177831394,0.022248557,-8.74439366,3.694345367,-3.614187092,3.337828603,3.041340699,-3.605141144
SAM004,64.153,4.252400788,0.984425054,0.506457901,0.169031853,0.035084827,-8.73545204,3.814096156,-3.725137833,3.448767392,3.152802458,-3.716692792
SAM005,54.1965,4.151760273,0.990000123,0.412790823,0.20420366,0.014449223,-9.182654166,4.157754441,-3.781537448,3.501592798,3.179026205,-3.739015916
SAM006,53.86575,4.529605588,0.965824214,0.901614682,0.105720667,0.04236295,-7.514453023,3.307117547,-3.738487212,3.436738496,3.208579551,-3.785634146
SAM007,40.8,4.321720459,0.980245365,0.708648422,0.122777817,0.034610077,-8.42774274,3.742209659,-3.82796118,3.549374602,3.271179583,-3.838357006
SAM008,45.40425,4.407195598,0.974676255,0.583952693,0.108234099,0.056503511,-8.049919554,3.394247592,-3.584564141,3.299025158,3.042031733,-3.613496063
SAM009,70.59275,4.801134364,0.941855355,0.841403235,0.080122695,0.037501518,-6.367571481,2.728677092,-3.335420838,2.982556434,2.811006478,-3.389750172
SAM010,88.6725,4.865442573,0.935160125,0.342303137,0.293833549,0.054487694,-6.107206866,2.166473716,-2.758361952,2.39207876,2.232324912,-2.807314341
SAM011,43.18725,4.095531777,0.992879139,0.66889785,0.098094802,0.014274474,-9.432008246,4.740093634,-4.124960641,3.838819222,3.501032906,-4.059535774
SAM012,48.797,4.278817458,0.982866309,0.592775527,0.204837822,0.024064924,-8.618104974,3.796610134,-3.773234291,3.496422964,3.207286986,-3.772390476
SAM013,38.93,4.486751655,0.969047173,0.912556623,0.077926673,0.069184176,-7.700960853,3.41385857,-3.805990148,3.51061786,3.272581045,-3.847836106
SAM014,57.11225,4.282630504,0.982637896,0.354159068,0.159694547,0.025527848,-8.601173674,3.525716303,-3.529137764,3.252220374,2.964064413,-3.529347617
SAM015,66.505,4.234671669,0.985448326,0.709004499,0.103741512,0.020597649,-8.814240273,4.050782196,-3.953593992,3.677219539,3.376633839,-3.939746055
SAM016,200.10075,5.42539223,0.854475997,0.2030659,0.557383249,0.053597541,-4.091232824,1.052698766,-1.975276342,1.502606406,1.417611086,-1.996265666
SAM017,141.76525,5.088760411,0.908262934,0.470723737,0.132741912,0.222124314,-5.245539373,1.96436188,-2.623424755,2.211265835,2.08743514,-2.624750857
SAM018,160.934,4.863707912,0.935346431,0.103938813,0.073975075,0.027545355,-6.114163618,1.573502507,-2.522086739,2.156166853,1.996103222,-2.571224153
SAM019,142.40925,4.993501224,0.920474183,0.334291535,0.142918108,0.456645621,-5.604535588,1.942655603,-2.598053037,2.205102232,2.066914215,-2.626317407
SAM020,173.88075,5.687420547,0.798104405,0.175416927,0.223946226,0.12711258,-3.324504625,0.619069955,-1.661184786,1.137206198,1.065171607,-1.793691769
SAM021,205.80975,5.31538428,0.874079188,0.150934755,0.174739558,0.773918349,-4.44796504,1.060110675,-2.045699499,1.591662261,1.496095663,-1.991988287
