SAMindex,TC_mean,log10(-c_interface_mean),c_interface_mean_to1,SAM_length_gm_mean_to1,Water_bending_overlap_factor_to1,Water_stretching_overlap_factor_to1,5X0,5X1,9X2,12X3
SAM001,62.717,1.798920363,0.990502831,0.635345732,0.152380999,0.218377897,-9.225239659,-5.287339774,4.402420122,1.487911209
SAM002,42.50925,1.913233304,0.974799397,0.817771904,0.107614174,0.04312299,-8.057907222,-4.485924616,3.502582293,1.272233498
SAM003,48.74075,1.845920272,0.984542112,0.392576995,0.177831394,0.022248557,-8.74439366,-4.55443366,3.65045863,1.306955406
SAM004,64.153,1.846794197,0.984425054,0.506457901,0.169031853,0.035084827,-8.73545204,-4.660711095,3.774095525,1.338909728
SAM005,54.1965,1.803086577,0.990000123,0.412790823,0.20420366,0.014449223,-9.182654166,-5.012952412,4.132589963,1.425030034
SAM006,53.86575,1.967182712,0.965824214,0.901614682,0.105720667,0.04236295,-7.514453023,-4.260516245,3.221246928,1.196562179
SAM007,40.8,1.876899347,0.980245365,0.708648422,0.122777817,0.034610077,-8.42774274,-4.623055958,3.69122012,1.31989976
SAM008,45.40425,1.914020729,0.974676255,0.583952693,0.108234099,0.056503511,-8.049919554,-4.247167937,3.316683622,1.222654675
SAM009,70.59275,2.085106161,0.941855355,0.841403235,0.080122695,0.037501518,-6.367571481,-3.656422459,2.548540098,1.004768155
SAM010,88.6725,2.113034862,0.935160125,0.342303137,0.293833549,0.054487694,-6.107206866,-3.044806137,2.015264608,0.776167448
SAM011,43.18725,1.778666851,0.992879139,0.66889785,0.098094802,0.014274474,-9.432008246,-5.610053444,4.719597341,1.55608339
SAM012,48.797,1.858266811,0.982866309,0.592775527,0.204837822,0.024064924,-8.618104974,-4.650855406,3.760371244,1.334253308
SAM013,38.93,1.948571485,0.969047173,0.912556623,0.077926673,0.069184176,-7.700960853,-4.372167764,3.326124041,1.228530483
SAM014,57.11225,1.859922796,0.982637896,0.354159068,0.159694547,0.025527848,-8.601173674,-4.398879932,3.470213711,1.260300373
SAM015,66.505,1.839094539,0.985448326,0.709004499,0.103741512,0.020597649,-8.814240273,-4.931733398,4.010537459,1.398999805
SAM016,200.10075,2.356217908,0.854475997,0.2030659,0.557383249,0.053597541,-4.091232824,-2.052877027,0.824557585,0.071719091
SAM017,141.76525,2.210020566,0.908262934,0.470723737,0.132741912,0.222124314,-5.245539373,-2.811827569,1.631397538,0.69218929
SAM018,160.934,2.112281508,0.935346431,0.103938813,0.073975075,0.027545355,-6.114163618,-2.809417764,0.79727562,0.45716489
SAM019,142.40925,2.168650027,0.920474183,0.334291535,0.142918108,0.456645621,-5.604535588,-2.824818042,1.615772154,0.698803066
SAM020,173.88075,2.47001536,0.798104405,0.175416927,0.223946226,0.12711258,-3.324504625,-1.664781731,-1.019291145,0.354751794
SAM021,205.80975,2.308442062,0.874079188,0.150934755,0.174739558,0.773918349,-4.44796504,-2.156499241,0.13298407,0.283396878
SAM022,146.33975,2.115366053,0.934581565,0.231559709,0.069690104,0.107619143,-6.085703728,-2.924873419,1.492636924,0.682043457
SAM023,152.556,2.097029388,0.939049633,0.111005735,0.073179735,0.020103926,-6.255807505,-2.877422441,0.986997622,0.513639327
SAM024,92.0455,2.691056512,0.635827761,0.659302042,0.374951578,0.275008229,-2.159485157,-1.451545912,-0.208055944,0.223087912
SAM025,102.28675,2.228896324,0.902293043,0.704704423,0.054652976,0.068872519,-5.086261575,-2.979519397,1.659751127,0.746276451
SAM026,105.50575,2.232201897,0.901220619,0.756285977,0.062296611,0.077686277,-5.058668415,-3.019600443,1.720214265,0.757952718
